GHS_NUM;GHS_CMD;GHM_NUM;GHS_SEU_BAS;GHS_SEU_HAU;GHS_PRI;EXH_PRI;EXB_FOR;EXB_PRI;MED_SUS_TAU;DMI_SUS_TAU;MED_CMD_TAU;DMI_CMD_TAU;TAR_IND;TAR_COE
3094;;08M222;3;23;2537.44;198.55;1648.50;;;;;;;
3095;;08M223;5;27;3521.48;236.27;984.04;;;;;;;
3096;;08M224;;;5238.63;;;;;;;;;
3097;;08M231;;3;991.82;92.61;;;;;;;;
3098;;08M232;3;23;2843.93;230.64;1852.10;;;;;;;
3099;;08M233;5;26;3946.83;279.36;1102.90;;;;;;;
3100;;08M234;;;5416.48;;;;;;;;;
3101;;08M241;2;10;2608.66;157.22;1824.39;;;;;;;
3102;;08M242;4;23;5227.39;113.00;2618.74;;;;;;;
3103;;08M243;6;36;6696.39;347.36;1469.00;;;;;;;
3104;;08M244;7;41;9961.68;448.27;3265.29;;;;;;;
3105;;08M24T;;;784.26;;;;;;;;;
3106;;08M251;4;19;3238.27;144.50;2440.41;;;;;;;
3107;;08M252;6;35;5550.22;169.32;2311.95;;;;;;;
3108;;08M253;8;44;7074.08;220.04;1523.86;;;;;;;
3109;;08M254;10;61;10814.72;329.15;3740.64;;;;;;;
3110;;08M25T;;;797.86;;;;;;;;;
3111;;08M261;2;10;2002.96;142.72;;1001.48;;;;;;
3112;;08M262;5;27;4429.20;142.94;2426.23;;;;;;;
3113;;08M263;7;38;6001.51;195.10;1572.31;;;;;;;
3114;;08M264;9;53;8927.96;314.12;2926.45;;;;;;;
3115;;08M271;3;15;2475.44;123.70;1872.78;;;;;;;
3116;;08M272;5;25;3922.86;108.67;1447.42;;;;;;;
3117;;08M273;7;39;5444.19;257.24;1521.33;;;;;;;
3118;;08M274;;;7471.39;;;;;;;;;
3119;;08M27T;;;602.66;;;;;;;;;
3120;;08M281;3;14;2441.26;140.68;1820.36;;;;;;;
3121;;08M282;5;25;3988.72;154.69;1547.46;;;;;;;
3122;;08M283;6;35;5535.58;289.51;1546.86;;;;;;;
3123;;08M284;7;40;8234.83;383.61;2699.25;;;;;;;
3124;;08M28T;;;620.90;;;;;;;;;
3125;;08M291;;4;1105.40;144.48;;;;;;;;
3126;;08M292;4;24;3994.94;148.98;2889.53;;;;;;;
3127;;08M293;6;35;5689.76;146.02;1694.82;;;;;;;
3128;;08M294;9;54;8464.20;293.12;2774.44;;;;;;;
3129;;08M301;3;12;1969.55;294.54;1446.49;;;;;;;
3130;;08M302;4;21;5621.94;363.37;3652.39;;;;;;;
3131;;08M303;5;27;7802.19;528.76;2180.25;;;;;;;
3132;;08M304;;;11606.69;;;;;;;;;
3133;;08M30T;;;523.06;;;;;;;;;
3134;;08M311;4;20;3705.85;121.47;3147.48;;;;;;;
3135;;08M312;7;40;6135.35;127.61;2429.50;;;;;;;
3136;;08M313;9;52;7666.68;201.99;1531.33;;;;;;;
3137;;08M314;11;67;10696.56;298.41;3029.88;;;;;;;
3138;;08M31T;;;558.37;;;;;;;;;
3139;;08M321;3;15;3472.50;95.32;3009.80;;;;;;;
3140;;08M322;6;34;5283.58;267.84;1811.07;;;;;;;
3141;;08M323;7;41;7332.60;255.39;2049.02;;;;;;;
3142;;08M324;9;55;10908.12;371.24;3575.52;;;;;;;
3143;;08M32T;;;462.71;;;;;;;;;
3144;;08M331;;;848.37;;;;;;;;;
3145;;08M332;;;2421.61;;;;;;;;;
3146;;08M333;;;3360.72;;;;;;;;;
3147;;08M334;;;4999.49;;;;;;;;;
3148;;08M341;;;918.97;;;;;;;;;
3149;;08M342;3;33;2623.13;193.20;1704.17;;;;;;;
3150;;08M343;7;39;3640.39;171.56;1017.26;;;;;;;
3151;;08M344;;;4995.93;;;;;;;;;
3152;;08M35Z;;;619.54;;;;;;;;;
3153;;08M36T;;;687.62;;;;;;;;;
3154;;08M36Z;2;11;1919.20;320.55;;959.60;;;;;;
3155;;08M371;;4;1075.17;142.84;;;;;;;;
3156;;08M372;4;22;3681.68;138.91;2606.51;;;;;;;
3157;;08M373;6;31;4931.84;267.21;1250.17;;;;;;;
3158;;08M374;7;40;7336.71;340.04;2404.87;;;;;;;
3159;;08M381;;;1075.06;;;;;;;;;
3160;;08M382;3;15;3068.68;362.17;1993.62;;;;;;;
3161;;08M383;;;4258.74;;;;;;;;;
3162;;08M384;;;6335.39;;;;;;;;;
3314;;09C021;4;23;4819.08;150.85;4302.93;;;;;;;
3315;;09C022;9;51;9043.01;172.19;4223.93;;;;;;;
3316;;09C023;13;75;13175.49;325.36;4132.48;;;;;;;
3317;;09C024;15;92;25251.88;512.28;12076.39;;;;;;;
3318;;09C02J;;;516.15;;;;;;;;;
3319;;09C031;2;7;2726.05;198.23;1554.62;;;;;;;
3320;;09C032;6;32;7850.94;193.26;5124.89;;;;;;;
3321;;09C033;11;66;14421.78;407.34;6570.84;;;;;;;
3322;;09C034;13;77;27640.50;669.33;13218.72;;;;;;;
3323;;09C03J;;;1171.43;;;;;;;;;
3324;;09C041;3;14;3845.33;127.78;;1281.78;;;;;;
3325;;09C042;4;19;4646.96;115.26;801.63;;;;;;;
3326;;09C043;6;32;6145.40;256.03;1498.44;;;;;;;
3327;;09C044;9;54;11778.16;405.41;5632.76;;;;;;;
3328;;09C051;2;8;2863.88;182.62;1628.09;;;;;;;
3329;;09C052;3;15;4142.24;229.19;1278.36;;;;;;;
3330;;09C053;5;27;6892.53;478.38;2750.29;;;;;;;
3331;;09C054;;;13210.08;;;;;;;;;
3332;;09C05J;;;1235.78;;;;;;;;;
3333;;09C061;2;8;2476.81;375.29;1314.40;;;;;;;
3334;;09C062;3;13;5097.16;307.66;2620.34;;;;;;;
3335;;09C063;4;24;8481.47;640.24;3384.31;;;;;;;
3336;;09C064;;;16255.42;;;;;;;;;
3337;;09C06T;;;1162.41;;;;;;;;;
3338;;09C071;;4;1311.66;231.28;;;;;;;;
3339;;09C072;3;10;2976.75;511.29;1665.09;;;;;;;
3340;;09C073;;;4953.18;;;;;;;;;
3341;;09C074;;;9493.17;;;;;;;;;
3342;;09C07J;;;1311.66;;;;;;;;;
3343;;09C081;;4;1246.25;94.42;;;;;;;;
3344;;09C082;3;17;2741.39;95.80;1495.14;;;;;;;
3345;;09C083;6;36;4561.56;113.00;1820.17;;;;;;;
3346;;09C084;12;73;8742.59;224.27;4181.03;;;;;;;
3347;;09C08J;;;1246.25;;;;;;;;;
3348;;09C091;2;7;2571.87;113.03;1312.33;;;;;;;
3349;;09C092;3;16;3589.12;412.14;1017.24;;;;;;;
3350;;09C093;4;21;5972.14;513.53;2383.03;;;;;;;
3351;;09C094;;;11446.09;;;;;;;;;
3352;;09C09J;;;1259.55;;;;;;;;;
3353;;09C101;;6;1690.53;170.42;;;;;;;;
3354;;09C102;5;26;5204.42;167.85;3513.90;;;;;;;
3355;;09C103;8;43;8296.63;157.91;3092.20;;;;;;;
3356;;09C104;11;67;12086.43;335.08;3789.81;;;;;;;
3357;;09C10J;;;730.56;;;;;;;;;
3358;;09C111;4;20;3182.15;296.58;;795.54;;;;;;
3359;;09C112;5;26;6548.71;255.77;3366.56;;;;;;;
3360;;09C113;7;43;10896.78;467.75;4348.08;;;;;;;
3361;;09C114;;;20884.56;;;;;;;;;
3514;;09K02J;;;821.39;;;;;;;;;
3515;;09M021;;3;915.09;175.01;;;;;;;;
3516;;09M022;3;14;2840.25;369.72;1925.16;;;;;;;
3517;;09M023;;;3868.57;;;;;;;;;
3518;;09M024;;;4757.17;;;;;;;;;
3519;;09M02T;;;736.84;;;;;;;;;
3520;;09M031;;3;895.80;122.04;;;;;;;;
3521;;09M032;3;18;2757.92;118.52;1862.12;;;;;;;
3522;;09M033;5;27;3824.65;130.46;1066.72;;;;;;;
3523;;09M034;7;38;5259.72;256.24;1435.07;;;;;;;
3524;;09M03T;;;607.36;;;;;;;;;
3525;;09M041;2;8;1844.49;190.45;1102.12;;;;;;;
3526;;09M042;3;13;2839.01;186.60;994.51;;;;;;;
3527;;09M043;4;16;3866.87;128.10;1027.86;;;;;;;
3528;;09M044;5;24;4891.63;377.84;1024.76;;;;;;;
3529;;09M04T;;;742.37;;;;;;;;;
3530;;09M051;2;12;1902.19;136.89;1322.02;;;;;;;
3531;;09M052;4;23;3407.95;142.59;1505.75;;;;;;;
3532;;09M053;5;30;4406.11;165.04;998.16;;;;;;;
3533;;09M054;7;38;5726.46;276.01;1320.36;;;;;;;
3534;;09M05T;;;580.17;;;;;;;;;
3535;;09M061;3;17;2885.24;141.05;2469.71;;;;;;;
3536;;09M062;6;35;5592.86;125.71;2707.63;;;;;;;
3537;;09M063;8;46;6975.73;183.54;1382.86;;;;;;;
3538;;09M064;10;57;8994.62;293.77;2018.89;;;;;;;
3539;;09M06T;;;415.53;;;;;;;;;
3540;;09M071;;5;1180.20;146.56;;;;;;;;
3541;;09M072;4;20;3495.93;140.04;2315.73;;;;;;;
3542;;09M073;5;27;4581.43;130.48;1085.50;;;;;;;
3543;;09M074;7;38;6016.68;292.50;1435.25;;;;;;;
3544;;09M07T;;;598.71;;;;;;;;;
3545;;09M081;3;12;2305.51;168.90;1774.57;;;;;;;
3546;;09M082;4;23;4163.45;172.59;1857.94;;;;;;;
3547;;09M083;6;31;5544.14;240.61;1380.69;;;;;;;
3548;;09M084;8;44;8672.12;361.57;3127.98;;;;;;;
3549;;09M08T;;;530.94;;;;;;;;;
3550;;09M091;2;8;1408.71;267.45;909.86;;;;;;;
3551;;09M092;3;18;4372.32;226.14;2963.61;;;;;;;
3552;;09M093;5;25;5955.33;435.43;1583.01;;;;;;;
3553;;09M094;;;7533.55;;;;;;;;;
3554;;09M09T;;;498.85;;;;;;;;;
3555;;09M101;;;984.46;;;;;;;;;
3556;;09M102;3;28;5181.05;150.04;4196.59;;;;;;;
3557;;09M103;8;43;7535.18;142.64;2354.13;;;;;;;
3558;;09M104;10;57;9532.08;308.63;1996.90;;;;;;;
3559;;09M111;;;672.47;;;;;;;;;
3560;;09M112;3;29;5877.63;151.77;5205.15;;;;;;;
3561;;09M113;6;36;8005.62;101.03;2128.00;;;;;;;
3562;;09M114;10;57;10127.20;332.34;2121.57;;;;;;;
3563;;09M12Z;;;570.55;;;;;;;;;
3564;;09M13Z;;;644.98;;;;;;;;;
3565;;09M14Z;1;5;1232.84;438.50;;1232.84;;;;;;
3566;;09M15Z;1;4;1123.82;515.58;;1123.82;;;;;;
3717;;10C021;3;16;5473.74;205.16;;1824.58;;;;;;
3718;;10C022;5;29;8140.87;293.63;2667.14;;;;;;;
3719;;10C023;8;49;14013.54;526.05;5872.67;;;;;;;
3720;;10C024;;;28056.26;;;;;;;;;
3721;;10C031;3;15;5468.58;242.24;;1822.86;;;;;;
3722;;10C032;5;26;8133.19;296.16;2664.62;;;;;;;
3723;;10C033;9;54;16425.72;569.30;8292.52;;;;;;;
3724;;10C034;;;18748.82;;;;;;;;;
3725;;10C051;2;7;3251.01;215.80;;1625.51;;;;;;
3726;;10C052;3;13;4545.80;319.81;1294.79;;;;;;;
3727;;10C053;7;39;12860.91;618.10;8315.11;;;;;;;
3728;;10C054;;;18757.12;;;;;;;;;
3729;;10C071;2;6;2267.90;654.02;;1133.95;;;;;;
3730;;10C072;;;3372.95;;;;;;;;;
3731;;10C073;;;8402.71;;;;;;;;;
3732;;10C074;;;15268.05;;;;;;;;;
3733;;10C081;2;10;3151.96;145.77;2384.05;;;;;;;
3734;;10C082;6;34;6650.50;285.99;3498.54;;;;;;;
3735;;10C083;11;63;16183.44;252.50;9532.94;;;;;;;
3736;;10C084;17;100;25525.88;474.39;9342.44;;;;;;;
3737;;10C08J;;;767.92;;;;;;;;;
3738;;10C091;2;9;4034.19;393.14;;2017.10;;;;;;
3739;;10C092;3;14;5999.89;407.10;1965.70;;;;;;;
3740;;10C093;5;25;10478.01;756.75;4478.12;;;;;;;
3741;;10C094;;;17657.41;;;;;;;;;
3742;;10C101;2;11;3135.21;281.10;;1567.60;;;;;;
3743;;10C102;3;16;4662.87;270.00;1527.66;;;;;;;
3744;;10C103;5;27;7632.88;522.25;2970.01;;;;;;;
3745;;10C104;;;15101.78;;;;;;;;;
3746;;10C111;2;8;3487.83;194.15;;1743.92;;;;;;
3747;;10C112;3;14;4652.74;314.83;1164.90;;;;;;;
3748;;10C113;8;44;14097.74;319.44;9445.01;;;;;;;
3749;;10C114;11;63;20167.16;599.37;6069.41;;;;;;;
3750;;10C121;2;8;2671.43;169.79;1068.57;;;;;;;
3751;;10C122;3;12;3350.57;266.89;679.14;;;;;;;
3752;;10C123;4;24;6553.22;269.23;3202.66;;;;;;;
3753;;10C124;11;62;16784.10;502.18;10230.88;;;;;;;
3754;;10C131;3;18;4895.70;366.96;;1631.90;;;;;;
3755;;10C132;4;21;7281.19;313.33;2385.49;;;;;;;
3756;;10C133;6;32;10727.80;336.76;3446.61;;;;;;;
3757;;10C134;9;55;18473.37;627.78;7745.58;;;;;;;
3911;;10M021;3;13;2055.83;146.44;1529.89;;;;;;;
3912;;10M022;4;21;3307.74;138.40;1251.90;;;;;;;
3913;;10M023;5;31;4691.72;179.44;1383.98;;;;;;;
3914;;10M024;8;49;7921.64;302.43;3229.92;;;;;;;
3915;;10M02T;;;525.94;;;;;;;;;
3916;;10M031;2;12;2204.31;167.02;1759.42;;;;;;;
3917;;10M032;4;19;3476.19;163.47;1271.89;;;;;;;
3918;;10M033;4;23;4876.27;133.63;1400.07;;;;;;;
3919;;10M034;8;48;8216.95;316.51;3340.68;;;;;;;
3920;;10M03T;;;444.88;;;;;;;;;
3921;;10M071;2;9;1835.71;121.96;1224.71;;;;;;;
3922;;10M072;4;22;3421.15;142.61;1585.44;;;;;;;
3923;;10M073;6;33;4989.88;225.53;1568.73;;;;;;;
3924;;10M074;8;46;7921.79;316.41;2931.92;;;;;;;
3925;;10M07T;;;611.00;;;;;;;;;
3926;;10M081;3;15;2707.93;114.45;2170.41;;;;;;;
3927;;10M082;4;24;3737.95;139.07;1030.03;;;;;;;
3928;;10M083;6;33;4989.62;174.81;1251.67;;;;;;;
3929;;10M084;9;50;7961.31;297.79;2971.69;;;;;;;
3930;;10M08T;;;537.52;;;;;;;;;
3931;;10M091;2;7;1643.24;88.37;1070.60;;;;;;;
3932;;10M092;4;19;3124.36;66.23;1481.11;;;;;;;
3933;;10M093;7;38;4382.72;212.09;1258.37;;;;;;;
3934;;10M094;;;7385.29;;;;;;;;;
3935;;10M09T;;;572.65;;;;;;;;;
3936;;10M101;2;8;2612.82;219.61;1813.51;;;;;;;
3937;;10M102;4;24;6263.44;211.05;3650.61;;;;;;;
3938;;10M103;7;40;9640.30;445.39;3376.86;;;;;;;
3939;;10M104;;;16244.76;;;;;;;;;
3940;;10M10T;;;799.32;;;;;;;;;
3941;;10M111;;;632.93;;;;;;;;;
3942;;10M112;3;22;4641.65;107.29;4008.72;;;;;;;
3943;;10M113;6;32;6511.11;91.03;1869.46;;;;;;;
3944;;10M114;14;81;10971.82;252.47;4460.71;;;;;;;
3945;;10M121;2;8;1895.49;102.59;1199.68;;;;;;;
3946;;10M122;4;20;3764.66;72.20;1869.17;;;;;;;
3947;;10M123;7;41;5280.92;157.30;1516.26;;;;;;;
3948;;10M124;11;64;8898.83;260.30;3617.91;;;;;;;
3949;;10M12T;;;695.82;;;;;;;;;
3950;;10M13Z;;;702.17;;;;;;;;;
3951;;10M14Z;;;1222.10;;;;;;;;;
3952;;10M151;2;7;1732.51;107.53;1127.63;;;;;;;
3953;;10M152;3;13;3143.85;91.22;1411.34;;;;;;;
3954;;10M153;4;23;4410.06;81.66;1266.21;;;;;;;
3955;;10M154;10;60;7431.35;230.05;3021.29;;;;;;;
3956;;10M15T;;;604.88;;;;;;;;;
3957;;10M161;2;7;1279.71;130.50;674.46;;;;;;;
3958;;10M162;3;17;2663.21;123.35;1383.50;;;;;;;
3959;;10M163;5;28;4020.11;178.55;1356.90;;;;;;;
3960;;10M164;7;40;6162.66;283.86;2142.55;;;;;;;
3961;;10M16T;;;605.25;;;;;;;;;
3962;;10M171;2;9;2307.64;124.97;1538.93;;;;;;;
3963;;10M172;5;26;5743.10;79.76;3435.45;;;;;;;
3964;;10M173;9;55;8056.18;229.97;2313.08;;;;;;;
3965;;10M174;13;79;13575.39;319.42;5519.20;;;;;;;
3966;;10M17T;;;768.72;;;;;;;;;
3967;;10M181;2;9;1812.06;123.28;1178.38;;;;;;;
3968;;10M182;4;24;3661.23;130.51;1849.17;;;;;;;
3969;;10M183;6;36;5227.32;144.08;1566.09;;;;;;;
3970;;10M184;9;53;7676.75;267.12;2449.43;;;;;;;
3971;;10M18T;;;633.68;;;;;;;;;
4112;;11C021;4;23;6767.02;161.94;;1691.75;;;;;;
4113;;11C022;6;36;9159.84;155.25;2392.83;;;;;;;
4114;;11C023;9;53;12819.52;116.01;3659.68;;;;;;;
4115;;11C024;13;79;15835.79;371.81;3016.27;;;;;;;
4116;;11C031;3;14;4628.68;207.87;;1542.89;;;;;;
4117;;11C032;5;30;8029.28;206.40;3400.60;;;;;;;
4118;;11C033;8;47;11791.35;198.95;3762.08;;;;;;;
4119;;11C034;13;81;18555.69;428.52;6764.34;;;;;;;
4120;;11C041;2;9;3319.74;219.03;2422.85;;;;;;;
4121;;11C042;4;23;6821.28;210.15;3501.54;;;;;;;
4122;;11C043;7;40;10878.16;195.01;4056.88;;;;;;;
4123;;11C044;12;72;17118.64;441.16;6240.48;;;;;;;
4124;;11C04J;;;896.90;;;;;;;;;
4125;;11C051;2;7;2099.98;153.91;700.83;;;;;;;
4126;;11C052;3;18;3792.95;182.37;1692.97;;;;;;;
4127;;11C053;6;33;6528.49;191.43;2735.54;;;;;;;
4128;;11C054;9;52;10165.74;362.35;3637.24;;;;;;;
4129;;11C05J;;;1399.16;;;;;;;;;
4130;;11C061;;;1563.64;;;;;;;;;
4131;;11C062;3;16;3068.05;355.44;1504.41;;;;;;;
4132;;11C063;;;4892.75;;;;;;;;;
4133;;11C064;;;7699.58;;;;;;;;;
4134;;11C071;2;7;2447.38;147.17;1678.13;;;;;;;
4135;;11C072;4;23;4802.05;285.60;2354.67;;;;;;;
4136;;11C073;6;33;7658.03;430.77;2855.98;;;;;;;
4137;;11C074;;;12051.21;;;;;;;;;
4138;;11C07J;;;769.24;;;;;;;;;
4139;;11C081;2;8;2257.13;206.26;1587.88;;;;;;;
4140;;11C082;5;29;6662.23;205.30;4405.10;;;;;;;
4141;;11C083;11;64;14279.15;195.04;7616.93;;;;;;;
4142;;11C084;18;106;22470.66;396.14;8191.51;;;;;;;
4143;;11C08T;;;669.25;;;;;;;;;
4144;;11C091;;5;2277.05;162.75;;;;;;;;
4145;;11C092;5;27;7001.29;109.58;4724.25;;;;;;;
4146;;11C093;11;65;11205.03;128.56;4203.74;;;;;;;
4147;;11C094;19;115;18026.81;292.56;6821.78;;;;;;;
4148;;11C09J;;;1009.72;;;;;;;;;
4273;;11K021;2;8;2176.12;197.50;1507.87;;;;;;;
4274;;11K022;6;33;7060.44;226.43;4884.32;;;;;;;
4275;;11K023;9;53;12226.17;194.58;5165.73;;;;;;;
4276;;11K024;12;73;16117.79;412.01;3891.62;;;;;;;
4277;;11K02J;;;668.25;;;;;;;;;
4278;;11K03Z;;;901.97;;;;;;;;;
4279;;11K04Z;;;497.19;;;;;;;;;
4280;;11K05Z;;;881.31;;;;;;;;;
4281;;11K06Z;;;454.86;;;;;;;;;
4282;;11K07Z;;;701.49;;;;;;;;;
4283;;11K08J;;;988.56;;;;;;;;;
4284;;11M021;;;889.67;;;;;;;;;
4285;;11M022;3;13;2271.75;109.01;1382.08;;;;;;;
4286;;11M023;4;22;3313.52;101.43;1041.77;;;;;;;
4287;;11M024;5;30;4124.97;256.15;811.45;;;;;;;
4288;;11M031;2;7;1771.60;198.72;1125.48;;;;;;;
4289;;11M032;3;12;2944.82;180.76;1173.22;;;;;;;
4290;;11M033;4;15;3817.54;133.55;872.72;;;;;;;
4291;;11M034;5;22;4752.42;396.96;934.88;;;;;;;
4292;;11M03T;;;646.12;;;;;;;;;
4293;;11M041;2;8;1587.20;143.50;967.68;;;;;;;
4294;;11M042;4;22;3596.14;155.00;2008.94;;;;;;;
4295;;11M043;5;29;4681.13;276.27;1084.99;;;;;;;
4296;;11M044;6;34;6062.49;332.83;1381.36;;;;;;;
4297;;11M04T;;;619.52;;;;;;;;;
4298;;11M061;2;9;1828.53;147.91;1269.28;;;;;;;
4299;;11M062;4;21;3711.96;143.41;1883.43;;;;;;;
4300;;11M063;5;30;5289.99;117.28;1578.03;;;;;;;
4301;;11M064;7;41;6580.12;300.18;1290.13;;;;;;;
4302;;11M06T;;;559.25;;;;;;;;;
4303;;11M071;2;10;2139.61;158.00;1534.28;;;;;;;
4304;;11M072;5;28;4983.63;213.26;2844.02;;;;;;;
4305;;11M073;7;39;7943.36;162.10;2959.72;;;;;;;
4306;;11M074;9;51;9888.61;356.63;1945.25;;;;;;;
4307;;11M07T;;;605.33;;;;;;;;;
4308;;11M081;2;13;1802.33;458.28;1003.14;;;;;;;
4309;;11M082;3;57;3831.94;384.54;2029.61;;;;;;;
4310;;11M083;5;61;6640.47;428.62;2808.53;;;;;;;
4311;;11M084;11;65;8266.66;235.07;1626.19;;;;;;;
4312;;11M08T;;;799.19;;;;;;;;;
4313;;11M101;2;6;1611.41;100.79;1040.29;;;;;;;
4314;;11M102;3;13;2832.25;72.16;1220.84;;;;;;;
4315;;11M103;6;31;4131.07;245.47;1298.82;;;;;;;
4316;;11M104;;;5142.71;;;;;;;;;
4317;;11M10T;;;571.11;;;;;;;;;
4318;;11M111;;3;1250.80;189.98;;;;;;;;
4319;;11M112;3;15;3530.60;427.54;2279.80;;;;;;;
4320;;11M113;;;5149.65;;;;;;;;;
4321;;11M114;;;6547.94;;;;;;;;;
4322;;11M121;;3;791.73;139.59;;;;;;;;
4323;;11M122;3;16;2606.44;139.81;1814.71;;;;;;;
4324;;11M123;4;24;3898.59;124.03;1292.14;;;;;;;
4325;;11M124;6;35;5262.91;274.35;1364.32;;;;;;;
4326;;11M151;3;13;2077.61;131.16;1385.83;;;;;;;
4327;;11M152;4;23;4178.10;106.51;2100.49;;;;;;;
4328;;11M153;6;33;6094.09;67.84;1916.00;;;;;;;
4329;;11M154;9;55;7586.47;257.07;1492.38;;;;;;;
4330;;11M15T;;;691.78;;;;;;;;;
4331;;11M161;2;6;1440.28;180.65;746.63;;;;;;;
4332;;11M162;4;22;4330.70;194.20;2890.42;;;;;;;
4333;;11M163;7;37;7690.62;156.95;3359.92;;;;;;;
4334;;11M164;8;49;9573.97;366.24;1883.35;;;;;;;
4335;;11M16T;;;693.65;;;;;;;;;
4336;;11M171;;;808.34;;;;;;;;;
4337;;11M172;3;13;2987.34;195.71;2179.00;;;;;;;
4338;;11M173;4;20;4357.28;405.17;1369.94;;;;;;;
4339;;11M174;;;5424.34;;;;;;;;;
4340;;11M18Z;;;610.02;;;;;;;;;
4341;;11M19Z;;;1205.35;;;;;;;;;
4513;;12C031;2;8;3036.02;138.15;1431.03;;;;;;;
4514;;12C032;3;18;4783.26;115.29;1747.24;;;;;;;
4515;;12C033;6;34;6627.97;361.30;1844.71;;;;;;;
4516;;12C034;;;12116.32;;;;;;;;;
4517;;12C03J;;;1604.99;;;;;;;;;
4518;;12C041;2;12;2743.63;153.98;;1371.81;;;;;;
4561;;12C041;;;2445.35;;;;;;;;;
4519;;12C042;3;18;3670.02;156.26;926.39;;;;;;;
4520;;12C043;5;28;5232.58;216.64;1562.56;;;;;;;
4521;;12C044;8;48;9565.46;371.45;4332.89;;;;;;;
4522;;12C051;2;23;2597.36;755.34;;1298.68;;;;;;
4523;;12C052;5;25;3868.27;286.30;1270.91;;;;;;;
4524;;12C053;;;5360.12;;;;;;;;;
4525;;12C054;;;9798.61;;;;;;;;;
4526;;12C061;;3;1368.45;66.96;;;;;;;;
4527;;12C062;3;13;2195.42;298.60;826.97;;;;;;;
4528;;12C063;;;3042.11;;;;;;;;;
4529;;12C064;;;4886.75;;;;;;;;;
4530;;12C06J;;;1368.45;;;;;;;;;
4531;;12C071;;5;1554.93;116.69;;;;;;;;
4532;;12C072;3;17;3395.93;87.31;1840.99;;;;;;;
4533;;12C073;6;32;4705.59;205.08;1309.67;;;;;;;
4534;;12C074;9;51;8602.11;311.50;3896.52;;;;;;;
4535;;12C07J;;;989.96;;;;;;;;;
4536;;12C081;;;861.12;;;;;;;;;
4537;;12C082;3;18;1444.33;142.74;583.21;;;;;;;
4538;;12C083;;;2001.35;;;;;;;;;
4539;;12C084;;;3658.60;;;;;;;;;
4540;;12C08J;;;861.12;;;;;;;;;
4541;;12C091;2;51;3913.65;335.89;;1956.83;;;;;;
4542;;12C092;4;51;5828.64;439.50;1914.99;;;;;;;
4543;;12C093;10;57;8076.52;264.02;2247.87;;;;;;;
4544;;12C094;;;14764.36;;;;;;;;;
4545;;12C101;;48;1791.97;278.20;;;;;;;;
4546;;12C102;3;48;2668.80;267.12;876.83;;;;;;;
4547;;12C103;9;52;3698.05;132.95;1029.24;;;;;;;
4548;;12C104;;;6760.26;;;;;;;;;
4549;;12C111;4;19;6087.38;193.37;;1521.84;;;;;;
4550;;12C112;5;25;7247.62;222.69;1160.24;;;;;;;
4551;;12C113;7;37;9919.86;492.63;2672.24;;;;;;;
4552;;12C114;8;46;18134.10;733.36;8214.24;;;;;;;
4553;;12C121;4;22;4359.34;174.45;;1089.83;;;;;;
4554;;12C122;5;28;5484.25;168.43;1124.91;;;;;;;
4555;;12C123;7;41;7673.89;317.72;2189.64;;;;;;;
4556;;12C124;10;61;14028.34;427.13;6354.45;;;;;;;
4557;;12C131;;;538.83;;;;;;;;;
4558;;12C132;;;802.49;;;;;;;;;
4559;;12C133;;;1111.98;;;;;;;;;
4560;;12C134;;;2032.76;;;;;;;;;
4757;;12K02Z;;;747.48;;;;;;;;;
4758;;12K03Z;;;418.77;;;;;;;;;
4759;;12K06J;;;550.34;;;;;;;;;
4760;;12M031;2;8;2504.11;104.44;1893.38;;;;;;;
4761;;12M032;5;27;4488.39;169.42;1984.29;;;;;;;
4762;;12M033;7;40;6690.82;313.46;2202.43;;;;;;;
4763;;12M034;10;58;12396.29;396.73;5705.47;;;;;;;
4764;;12M03T;;;610.73;;;;;;;;;
4765;;12M041;;;708.54;;;;;;;;;
4766;;12M042;3;15;2365.81;133.99;1657.27;;;;;;;
4767;;12M043;4;24;3571.71;272.48;1205.90;;;;;;;
4768;;12M044;6;35;6617.41;349.04;3045.70;;;;;;;
4769;;12M051;;;781.81;;;;;;;;;
4770;;12M052;3;13;2231.59;95.30;1449.78;;;;;;;
4771;;12M053;5;25;3375.14;248.17;1143.55;;;;;;;
4772;;12M054;;;6253.22;;;;;;;;;
4773;;12M061;2;9;1587.25;130.74;1048.81;;;;;;;
4774;;12M062;4;20;3025.35;158.77;1438.10;;;;;;;
4775;;12M063;5;29;4454.26;284.43;1428.91;;;;;;;
4776;;12M064;7;38;8252.54;401.54;3798.28;;;;;;;
4777;;12M06T;;;538.44;;;;;;;;;
4778;;12M071;;4;909.12;105.37;;;;;;;;
4779;;12M072;4;20;2594.97;110.81;1685.85;;;;;;;
4780;;12M073;6;32;3924.73;227.93;1329.76;;;;;;;
4781;;12M074;;;7271.47;;;;;;;;;
4782;;12M07T;;;525.77;;;;;;;;;
4783;;12M08Z;;;650.12;;;;;;;;;
4784;;12M09Z;;;1227.52;;;;;;;;;
4922;;13C031;3;13;3456.55;208.67;;1152.18;;;;;;
4923;;13C032;3;18;4555.69;207.24;1099.14;;;;;;;
4924;;13C033;5;28;7486.42;177.64;2930.73;;;;;;;
4925;;13C034;10;57;12637.97;409.86;5151.55;;;;;;;
4926;;13C041;2;10;3027.06;115.98;;1513.53;;;;;;
