GHS_NUM;GHS_CMD;GHM_NUM;GHS_SEU_BAS;GHS_SEU_HAU;GHS_PRI;EXH_PRI;EXB_FOR;EXB_PRI;MED_SUS_TAU;DMI_SUS_TAU;MED_CMD_TAU;DMI_CMD_TAU;TAR_IND;TAR_COE
2335;;07C101;4;19;7351.91;161.97;;1837.98;;;;;;
2336;;07C102;7;38;10983.48;139.81;3631.57;;;;;;;
2337;;07C103;11;63;14478.66;199.53;3495.18;;;;;;;
2338;;07C104;21;130;27847.34;400.69;13368.68;;;;;;;
2339;;07C111;6;34;8201.97;143.66;;1366.99;;;;;;
2340;;07C112;8;45;10056.62;132.23;1854.66;;;;;;;
2341;;07C113;12;69;13230.24;359.40;3173.61;;;;;;;
2342;;07C114;13;80;21850.40;508.08;8620.17;;;;;;;
2343;;07C121;4;22;5534.26;152.97;;1383.56;;;;;;
2344;;07C122;6;35;7602.95;146.29;2068.70;;;;;;;
2345;;07C123;8;47;9358.42;338.75;1755.47;;;;;;;
2346;;07C124;11;65;15455.90;439.93;6097.48;;;;;;;
2347;;07C131;3;13;3469.73;145.48;;1156.58;;;;;;
2348;;07C132;5;25;5215.47;146.23;1745.74;;;;;;;
2349;;07C133;7;38;7116.46;223.46;1900.99;;;;;;;
2350;;07C134;10;57;11362.24;368.53;4245.78;;;;;;;
2351;;07C141;2;8;3130.42;154.58;1252.17;;;;;;;
2352;;07C142;3;16;4703.87;126.50;1573.46;;;;;;;
2353;;07C143;5;28;6221.93;168.91;1518.05;;;;;;;
2354;;07C144;9;52;10275.82;364.48;4053.89;;;;;;;
2511;;07K02Z;;;1698.02;;;;;;;;;
2512;;07K04J;;;1269.14;;;;;;;;;
2513;;07K05J;;;894.67;;;;;;;;;
2514;;07M021;2;9;2055.86;145.66;1330.24;;;;;;;
2515;;07M022;4;20;3708.59;140.06;1652.73;;;;;;;
2516;;07M023;5;29;4969.12;185.45;1260.53;;;;;;;
2517;;07M024;7;38;6638.19;319.58;1669.07;;;;;;;
2518;;07M02T;;;725.62;;;;;;;;;
2519;;07M041;2;7;1749.39;153.26;946.26;;;;;;;
2520;;07M042;5;26;4661.27;178.52;2911.88;;;;;;;
2521;;07M043;6;37;6624.99;225.11;1963.72;;;;;;;
2522;;07M044;9;54;10451.82;360.53;3826.82;;;;;;;
2523;;07M04T;;;803.13;;;;;;;;;
2524;;07M061;2;10;2604.89;127.79;1813.17;;;;;;;
2525;;07M062;5;29;5032.89;142.35;2428.00;;;;;;;
2526;;07M063;7;40;6598.77;186.70;1565.88;;;;;;;
2527;;07M064;9;55;9399.34;316.57;2800.57;;;;;;;
2528;;07M06T;;;791.71;;;;;;;;;
2529;;07M071;3;16;2783.30;149.25;2165.13;;;;;;;
2530;;07M072;5;29;4723.50;151.20;1940.20;;;;;;;
2531;;07M073;7;41;6716.78;141.79;1993.28;;;;;;;
2532;;07M074;10;60;9410.79;292.75;2694.01;;;;;;;
2533;;07M07T;;;618.17;;;;;;;;;
2534;;07M081;;5;1431.80;142.00;;;;;;;;
2535;;07M082;5;28;4746.27;140.54;3314.46;;;;;;;
2536;;07M083;7;40;6842.76;121.01;2096.49;;;;;;;
2537;;07M084;10;61;9384.02;287.16;2541.26;;;;;;;
2538;;07M08T;;;698.13;;;;;;;;;
2539;;07M091;;3;886.65;151.98;;;;;;;;
2540;;07M092;3;24;4084.42;151.42;3197.77;;;;;;;
2541;;07M093;6;35;5750.09;307.12;1665.67;;;;;;;
2542;;07M094;;;7885.56;;;;;;;;;
2543;;07M09T;;;668.50;;;;;;;;;
2544;;07M101;3;18;2731.56;98.58;1881.55;;;;;;;
2545;;07M102;5;25;3421.64;135.51;690.08;;;;;;;
2546;;07M103;7;39;6365.69;101.74;2944.04;;;;;;;
2547;;07M104;12;70;9519.53;253.85;3153.84;;;;;;;
2548;;07M10T;;;850.01;;;;;;;;;
2549;;07M111;2;11;2314.75;138.00;1446.13;;;;;;;
2550;;07M112;4;24;4243.04;134.56;1928.29;;;;;;;
2551;;07M113;7;38;6920.59;102.81;2677.55;;;;;;;
2552;;07M114;11;63;9490.77;280.76;2570.18;;;;;;;
2553;;07M11T;;;868.62;;;;;;;;;
2554;;07M121;;;738.02;;;;;;;;;
2555;;07M122;3;16;3354.14;124.35;2616.12;;;;;;;
2556;;07M123;5;27;4721.99;318.10;1367.85;;;;;;;
2557;;07M124;;;6475.65;;;;;;;;;
2558;;07M13Z;;;753.80;;;;;;;;;
2559;;07M14T;;;577.18;;;;;;;;;
2560;;07M14Z;3;17;3137.36;328.03;;1045.79;;;;;;
2561;;07M151;3;17;3148.48;135.54;2693.75;;;;;;;
2562;;07M152;6;31;5413.52;116.19;2265.04;;;;;;;
2563;;07M153;9;50;7621.21;217.72;2207.69;;;;;;;
2564;;07M154;11;63;10451.58;308.70;2830.37;;;;;;;
2565;;07M15T;;;454.73;;;;;;;;;
2743;;08C021;7;38;8135.40;257.57;;1162.20;;;;;;
2744;;08C022;8;48;16695.13;187.17;8559.74;;;;;;;
2745;;08C023;11;66;22638.07;148.76;5942.94;;;;;;;
2746;;08C024;22;133;32604.81;458.44;9966.74;;;;;;;
2747;;08C041;3;16;5146.28;160.10;;1715.43;;;;;;
2748;;08C042;4;24;7611.53;137.75;2465.25;;;;;;;
2749;;08C043;6;35;10277.44;110.35;2665.91;;;;;;;
2750;;08C044;13;77;14912.24;360.15;4634.80;;;;;;;
2751;;08C061;5;26;5311.17;166.11;;1062.23;;;;;;
2752;;08C062;10;57;10900.97;149.16;5589.80;;;;;;;
2753;;08C063;14;83;14779.21;232.47;3878.24;;;;;;;
2754;;08C064;18;111;21288.41;358.02;6509.21;;;;;;;
2755;;08C121;;59;2465.79;855.90;;;;;;;;
2756;;08C122;5;55;5060.93;244.80;2595.14;;;;;;;
2757;;08C123;11;63;6861.46;201.43;1800.54;;;;;;;
2758;;08C124;;;9883.46;;;;;;;;;
2759;;08C131;2;46;1995.44;518.76;753.34;;;;;;;
2760;;08C132;4;47;4095.56;400.01;2100.12;;;;;;;
2761;;08C133;9;51;5552.64;202.80;1457.08;;;;;;;
2762;;08C134;;;8836.64;;;;;;;;;
2763;;08C13J;;;1242.10;;;;;;;;;
2764;;08C141;;33;1454.47;384.14;;;;;;;;
2765;;08C142;3;33;2907.87;252.02;1453.40;;;;;;;
2766;;08C143;7;35;3939.06;193.44;1031.19;;;;;;;
2767;;08C144;8;44;5680.04;240.90;1740.98;;;;;;;
2768;;08C14J;;;1165.15;;;;;;;;;
2769;;08C201;2;6;3151.63;107.00;1912.98;;;;;;;
2770;;08C202;6;37;6468.60;322.81;3316.97;;;;;;;
2771;;08C203;;;8769.94;;;;;;;;;
2772;;08C204;;;13956.74;;;;;;;;;
2773;;08C20J;;;1238.65;;;;;;;;;
2774;;08C211;2;8;2771.43;144.37;1518.43;;;;;;;
2775;;08C212;4;24;6082.11;98.88;3310.67;;;;;;;
2776;;08C213;8;46;8257.40;304.31;2175.30;;;;;;;
2777;;08C214;10;58;11909.09;381.58;3651.68;;;;;;;
2778;;08C21J;;;1253.00;;;;;;;;;
2779;;08C221;5;28;6963.08;147.27;;1392.62;;;;;;
2780;;08C222;7;37;8324.11;143.71;1361.02;;;;;;;
2781;;08C223;8;47;9761.17;165.43;1437.06;;;;;;;
2782;;08C224;12;73;14062.31;358.21;4301.15;;;;;;;
2783;;08C241;5;26;5686.76;144.07;;1137.35;;;;;;
2784;;08C242;5;28;6166.15;112.19;479.39;;;;;;;
2785;;08C243;6;34;6839.28;150.90;673.13;;;;;;;
2786;;08C244;9;54;9857.31;340.42;3018.03;;;;;;;
2787;;08C251;4;19;4701.38;106.59;;1175.34;;;;;;
2788;;08C252;5;25;5340.94;212.69;639.56;;;;;;;
2789;;08C253;6;34;7255.12;396.91;1914.19;;;;;;;
2790;;08C254;;;10361.88;;;;;;;;;
2791;;08C271;3;13;3756.59;180.21;;1252.20;;;;;;
2792;;08C272;4;24;5794.83;178.78;2038.23;;;;;;;
2793;;08C273;7;39;8864.77;162.60;3069.94;;;;;;;
2794;;08C274;11;63;12767.15;375.19;3902.38;;;;;;;
2795;;08C281;2;8;3095.52;311.08;;1547.76;;;;;;
2796;;08C282;4;21;8190.73;272.59;5095.20;;;;;;;
2797;;08C283;7;40;13369.91;289.75;5179.18;;;;;;;
2798;;08C284;9;55;17716.23;602.72;4346.32;;;;;;;
2799;;08C291;3;14;3984.96;263.81;3296.65;;;;;;;
2800;;08C292;6;32;10917.05;168.87;6932.09;;;;;;;
2801;;08C293;9;55;14801.01;498.29;3883.96;;;;;;;
2802;;08C294;;;21319.83;;;;;;;;;
2803;;08C29J;;;688.31;;;;;;;;;
2804;;08C311;2;10;3098.50;221.32;;1549.25;;;;;;
2805;;08C312;4;21;6366.44;161.79;3267.93;;;;;;;
2806;;08C313;6;35;8631.43;461.66;2264.99;;;;;;;
2807;;08C314;;;12432.96;;;;;;;;;
2808;;08C321;3;13;3877.76;139.53;3171.22;;;;;;;
2809;;08C322;5;26;6014.29;134.64;2136.53;;;;;;;
