GHS_NUM;GHM_NUM;GHS_SEU_BAS;GHS_SEU_HAU;GHS_PRI;EXH_PRI;EHB_FOR;EHB_PRI
0255;01M171;2;8;1376.44;131.35;0.00;440.23
0256;01M172;0;23;3346.65;144.70;0.00;0.00
0257;01M173;0;38;6129.09;125.58;0.00;0.00
0258;01M174;7;70;10147.68;271.22;4018.60;0.00
0259;01M17T;0;0;495.98;0.00;0.00;0.00
0260;01M181;0;15;2102.13;135.97;0.00;0.00
0261;01M182;4;34;4974.42;130.72;2872.28;0.00
0262;01M183;5;47;7347.06;114.69;2372.64;0.00
0263;01M184;8;89;12164.23;256.06;4817.17;0.00
0264;01M191;0;5;1146.41;126.55;0.00;0.00
0265;01M192;0;24;3550.96;148.64;0.00;0.00
0266;01M193;4;36;5376.69;146.89;1825.73;0.00
0267;01M194;8;60;8901.93;274.57;3525.25;0.00
0268;01M201;0;0;699.41;0.00;0.00;0.00
0269;01M202;0;14;2310.26;95.40;0.00;0.00
0270;01M203;0;24;3469.73;87.50;0.00;0.00
0271;01M204;5;50;5744.69;211.28;2274.96;0.00
0272;01M211;2;10;1712.63;189.92;0.00;618.37
0273;01M212;4;18;3338.35;182.83;1625.72;0.00
0274;01M213;4;33;6080.84;284.67;2742.49;0.00
0275;01M214;5;47;10066.19;395.88;3985.35;0.00
0276;01M221;0;5;1009.24;112.95;0.00;0.00
0277;01M222;0;15;2304.00;96.41;0.00;0.00
0278;01M223;0;25;3268.15;239.98;0.00;0.00
0279;01M224;0;0;5413.46;0.00;0.00;0.00
0280;01M22T;0;0;554.18;0.00;0.00;0.00
0281;01M231;0;3;955.28;185.22;0.00;0.00
0282;01M232;0;12;2622.24;379.15;0.00;0.00
0283;01M233;0;0;3862.27;0.00;0.00;0.00
0284;01M234;0;0;6394.60;0.00;0.00;0.00
0285;01M241;0;6;1727.99;166.89;0.00;0.00
0286;01M242;0;17;4427.01;124.40;0.00;0.00
0287;01M243;0;34;6541.89;161.67;0.00;0.00
0288;01M244;5;61;10907.10;332.94;4365.21;0.00
0289;01M24T;0;0;748.82;0.00;0.00;0.00
0290;01M251;0;8;1529.99;119.00;0.00;0.00
0291;01M252;0;18;2720.02;122.34;0.00;0.00
0292;01M253;0;29;4274.07;112.42;0.00;0.00
0293;01M254;5;50;6634.83;245.56;2360.75;0.00
0294;01M25T;0;0;632.87;0.00;0.00;0.00
0295;01M261;0;16;2732.63;142.61;0.00;0.00
0296;01M262;4;35;5442.29;183.87;2709.66;0.00
0297;01M263;5;43;7350.86;160.84;1908.57;0.00
0298;01M264;10;62;10406.82;313.04;3055.96;0.00
0299;01M26T;0;0;615.47;0.00;0.00;0.00
0300;01M271;0;9;1999.90;125.33;0.00;0.00
0301;01M272;0;23;3754.54;181.97;0.00;0.00
0302;01M273;6;35;5938.21;299.46;2183.66;0.00
0303;01M274;6;48;9831.23;381.38;3893.02;0.00
0304;01M27T;0;0;916.44;0.00;0.00;0.00
0305;01M281;0;8;1448.93;134.55;0.00;0.00
0306;01M282;0;26;3870.78;154.70;0.00;0.00
0307;01M283;4;35;5263.11;202.99;1392.33;0.00
0308;01M284;9;52;8713.92;313.97;3450.81;0.00
0309;01M28T;0;0;525.45;0.00;0.00;0.00
0310;01M291;0;4;2194.47;255.29;0.00;0.00
0311;01M292;0;19;6023.79;573.84;0.00;0.00
0312;01M293;0;0;8872.38;0.00;0.00;0.00
0313;01M294;0;0;14689.64;0.00;0.00;0.00
0314;01M301;3;20;3148.62;129.73;0.00;822.01
0315;01M302;4;33;4871.48;128.77;1722.86;0.00
0316;01M303;5;45;6898.14;110.25;2026.66;0.00
0317;01M304;8;71;9764.60;256.09;2866.46;0.00
0318;01M30T;0;0;682.60;0.00;0.00;0.00
0319;01M311;0;18;3062.42;116.07;0.00;0.00
0320;01M312;4;33;4803.54;151.88;1741.12;0.00
