COD_RES;RES_LIB;TEC_COL
73000;CHAMBERY;0
73120;COURCHEVEL;0
73150;VAL D ISERE;0
73170;YENNE;0
73210;AIME;0
73230;ST ALBAN LEYSSE;0
73240;ST GENIX SUR GUIERS;0
73260;AIGUEBLANCHE;0
73290;LA MOTTE SERVOLEX;0
73320;VAL D ISERE;0
73490;LA RAVOIRE;0
74000;ANNECY;0
74100;ANNEMASSE;0
74130;BONNEVILLE;0
74170;ST GERVAIS LES BAINS;0
74210;FAVERGES;0
74240;GAILLARD;0
74250;VIUZ EN SALLAZ;0
74290;MENTHON ST BERNARD;0
74390;CHATEL;0
74600;SEYNOD;0
74950;SCIONZIER;0
75015;PARIS 15;0
76000;ROUEN;0
76111;FECAMP;0
76117;EU;0
76120;LE GRAND QUEVILLY;0
76140;LE PETIT QUEVILLY;0
76160;DARNETAL;0
76190;YVETOT;0
76210;BOLBEC;0
61200;ARGENTAN;0
61210;PUTANGES PONT ECREPIN;0
61220;BRIOUZE;0
61230;GACE;0
61240;LE MERLERAULT;0
61250;DAMIGNY;0
61260;LE THEIL;0
61270;AUBE;0
61290;LONGNY AU PERCHE;0
61300;L AIGLE;0
61310;EXMES;0
61320;CARROUGES;0
61330;CEAUCE;0
61340;NOCE;0
61350;PASSAIS LA CONCEPTION;0
61360;PERVENCHERES;0
61380;MOULINS LA MARCHE;0
61400;MORTAGNE AU PERCHE;0
61410;COUTERNE;0
61430;FLERS;0
61470;LE SAP;0
61800;TINCHEBRAY;0
62100;CALAIS;0
62111;FONCQUEVILLERS;0
62113;LABOURSE;0
62116;BUCQUOY;0
62119;DOURGES;0
62122;LAPUGNOY;0
62127;TINCQUES;0
62129;THEROUANNE;0
62130;ST POL SUR TERNOISE;0
62134;ANVIN;0
62137;COULOGNE;0
62140;HESDIN;0
62143;ANGRES;0
62145;ESTREE BLANCHE;0
62149;CAMBRIN;0
62151;BURBURE;0
62155;MERLIMONT;0
62156;MARQUION;0
62158;L ARBRET;0
62160;BULLY LES MINES;0
62164;WIMEREUX;0
62172;SAINS EN GOHELLE;0
62176;ETAPLES;0
62182;MARQUION;0
62187;NEUFCHATEL HARDELOT;0
62215;OYE PLAGE;0
62218;LOISON SOUS LENS;0
62221;NOYELLES SOUS LENS;0
62230;OUTREAU;0
62240;DESVRES;0
62260;AUCHEL;0
62300;LENS;0
62330;ISBERGUES;0
62350;ST VENANT;0
62370;AUDRUICQ;0
62400;BETHUNE;0
62420;BILLY MONTIGNY;0
62460;DIVION;0
62490;VITRY EN ARTOIS;0
62520;LE TOUQUET PARIS PLAGE;0
62540;MARLES LES MINES;0
62570;WIZERNES;0
62590;OIGNIES;0
62610;ARDRES;0
62630;ETAPLES;0
62670;MAZINGARBE;0
62690;AUBIGNY EN ARTOIS;0
62720;RINXENT;0
62740;FOUQUIERES LES LENS;0
62760;PAS EN ARTOIS;0
62780;CUCQ;0
62820;LIBERCOURT;0
62850;LICQUES;0
62870;CAMPAGNE LES HESDIN;0
62910;EPERLECQUES;0
63000;CLERMONT FERRAND;0
63110;BEAUMONT;0
63114;COUDES;0
63117;VERTAIZON;0
63119;CLERMONT FERRAND;0
63130;ROYAT;0
63160;BILLOM;0
63200;RIOM;0
63230;PONTGIBAUD;0
63260;AIGUEPERSE;0
63300;THIERS;0
63330;PIONSAT;0
63340;ST GERMAIN LEMBRON;0
63360;GERZAT;0
63370;LEMPDES;0
63390;ST GERVAIS D AUVERGNE;0
63400;CHAMALIERES;0
63440;ST PARDOUX;0
63460;COMBRONDE;0
63590;CUNLHAT;0
63800;COURNON D AUVERGNE;0
64000;PAU;0
64100;BAYONNE;0
64121;SERRES CASTET;0
64130;MAULEON LICHARRE;0
64160;MORLAAS;0
64200;BIARRITZ;0
64240;HASPARREN;0
64290;GAN;0
64310;ASCAIN;0
64320;BIZANOS;0
64330;GARLIN;0
64340;BOUCAU;0
64350;LEMBEYE;0
64360;MONEIN;0
64370;ARTHEZ DE BEARN;0
64390;SAUVETERRE DE BEARN;0
64410;ARZACQ ARRAZIGUET;0
64420;SOUMOULOU;0
64430;ST ETIENNE DE BAIGORRY;0
64440;LARUNS;0
64450;THEZE;0
64460;PONTIACQ VIELLEPINTE;0
64480;USTARITZ;0
64490;BEDOUS;0
64500;ST JEAN DE LUZ;0
64510;BORDES;0
64520;BIDACHE;0
64530;PONTACQ;0
64570;ARAMITS;0
64600;ANGLET;0
64640;IHOLDY;0
64680;OGEU LES BAINS;0
64700;HENDAYE;0
64780;OSSES;0
64800;NAY;0
64990;ST PIERRE D IRUBE;0
65000;TARBES;0
65100;LOURDES;0
65110;CAUTERETS;0
65120;LUZ ST SAUVEUR;0
65130;CAPVERN;0
65140;RABASTENS DE BIGORRE;0
65170;ST LARY SOULAN;0
65190;TOURNAY;0
65200;BAGNERES DE BIGORRE;0
65220;TRIE SUR BAISE;0
65230;CASTELNAU MAGNOAC;0
65250;LA BARTHE DE NESTE;0
65260;PIERREFITTE NESTALAS;0
65270;ST PE DE BIGORRE;0
65290;JUILLAN;0
65300;LANNEMEZAN;0
65310;LALOUBERE;0
65320;BORDERES SUR L ECHEZ;0
65350;POUYASTRUC;0
65380;OSSUN;0
65420;BORDERES SUR L ECHEZ;0
65490;BORDERES SUR L ECHEZ;0
66000;PERPIGNAN;0
66140;CANET EN ROUSSILLON;0
66150;ARLES SUR TECH;0
66170;MILLAS;0
66180;VILLENEUVE DE LA RAHO;0
66200;ELNE;0
66310;ESTAGEL;0
66510;ST HIPPOLYTE;0
67000;STRASBOURG;0
67110;NIEDERBRONN LES BAINS;0
58190;TANNAY;0
58230;MONTSAUCHE LES SETTONS;0
58250;FOURS;0
58260;DECIZE;0
58310;ST AMAND EN PUISAYE;0
58410;ENTRAINS SUR NOHAIN;0
59000;LILLE;0
59110;LA MADELEINE;0
59111;BOUCHAIN;0
59112;ANNOEULLIN;0
59113;SECLIN;0
59114;STEENVOORDE;0
59115;LYS LEZ LANNOY;0
59116;HOUPLINES;0
59117;COMINES;0
59118;WAMBRECHIES;0
59119;WAZIERS;0
59120;LOOS;0
59121;PROUVY;0
59122;HONDSCHOOTE;0
59123;BRAY DUNES;0
59124;ESCAUDAIN;0
59125;TRITH ST LEGER;0
59126;LINSELLES;0
59127;WALINCOURT SELVIGNY;0
59128;FLERS EN ESCREBIEUX;0
59129;AVESNES LES AUBERT;0
59130;LAMBERSART;0
59131;ROUSIES;0
59132;TRELON;0
59133;PHALEMPIN;0
59134;WAVRIN;0
59135;PETITE FORET;0
59136;WAVRIN;0
59137;BUSIGNY;0
59138;PONT SUR SAMBRE;0
59139;WATTIGNIES;0
59140;DUNKERQUE;0
59141;ESCAUDOEUVRES;0
59142;WALINCOURT SELVIGNY;0
59143;WATTEN;0
59144;GOMMEGNIES;0
59145;BERLAIMONT;0
59146;PECQUENCOURT;0
59147;GONDECOURT;0
59148;FLINES LEZ RACHES;0
59149;COUSOLRE;0
59150;WATTRELOS;0
59151;ARLEUX;0
59153;GRAND FORT PHILIPPE;0
59155;FACHES THUMESNIL;0
59157;BEAUVOIS EN CAMBRESIS;0
59160;LOMME;0
59162;OSTRICOURT;0
59165;AUBERCHICOURT;0
59169;ARLEUX;0
59172;DENAIN;0
59175;TEMPLEMARS;0
59178;HASNON;0
59180;CAPPELLE LA GRANDE;0
59184;WAVRIN;0
59187;SIN LE NOBLE;0
59191;LIGNY EN CAMBRESIS;0
59194;RACHES;0
59198;DOUCHY LES MINES;0
59211;WAVRIN;0
59214;AVESNES LES AUBERT;0
59218;POIX DU NORD;0
59220;DENAIN;0
59224;THIANT;0
59229;TETEGHEM;0
59232;VIEUX BERQUIN;0
59234;FECHAIN;0
59237;LAMBERSART;0
59239;THUMERIES;0
59242;TEMPLEUVE;0
59244;AVESNES SUR HELPE;0
59246;THUMERIES;0
59250;RONCQ;0
59252;MARQUETTE EN OSTREVANT;0
59254;GHYVELDE;0
59259;ARLEUX;0
59262;CYSOING;0
59264;ONNAING;0
59267;PROVILLE;0
59270;BAILLEUL;0
59272;WAVRIN;0
59274;WAVRIN;0
59278;ESCAUTPONT;0
59282;DOUCHY LES MINES;0
59286;ROOST WARENDIN;0
59290;WASQUEHAL;0
59293;NEUVILLE SUR ESCAUT;0
59299;BOESCHEPE;0
59320;HAUBOURDIN;0
59370;MONS EN BAROEUL;0
59410;ANZIN;0
59430;ST POL SUR MER;0
59460;JEUMONT;0
59480;WAVRIN;0
59492;HOYMILLE;0
59495;COUDEKERQUE BRANCHE;0
59500;DOUAI;0
59520;MARQUETTE LEZ LILLE;0
59550;LANDRECIES;0
59553;CUINCY;0
59570;BAVAY;0
59600;MAUBEUGE;0
59620;AULNOYE AYMERIES;0
59670;CASSEL;0
59850;NIEPPE;0
59970;FRESNES SUR ESCAUT;0
60000;BEAUVAIS;0
60112;MARSEILLE EN BEAUVAISIS;0
60119;MERU;0
60120;BRETEUIL;0
60127;MORIENVAL;0
60129;ORROUY;0
60140;LIANCOURT;0
60155;BEAUVAIS;0
60170;RIBECOURT DRESLINCOURT;0
60200;COMPIEGNE;0
60230;CHAMBLY;0
60240;CHAUMONT EN VEXIN;0
60260;LAMORLAYE;0
60290;RANTIGNY;0
60310;LASSIGNY;0
60330;LE PLESSIS BELLEVILLE;0
60370;HERMES;0
60390;AUNEUIL;0
60410;VERBERIE;0
60440;NANTEUIL LE HAUDOUIN;0
60480;FROISSY;0
60500;CHANTILLY;0
60520;LA CHAPELLE EN SERVAL;0
60540;MERU;0
60570;MERU;0
60590;SERIFONTAINE;0
60610;LACROIX ST OUEN;0
60650;LACHAPELLE AUX POTS;0
60680;GRANDFRESNOY;0
60700;PONT STE MAXENCE;0
60730;STE GENEVIEVE;0
60740;ST MAXIMIN;0
60790;MERU;0
60800;CREPY EN VALOIS;0
60810;SENLIS;0
60820;PRECY SUR OISE;0
60840;CLERMONT;0
60850;ST GERMER DE FLY;0
60860;MARSEILLE EN BEAUVAISIS;0
60870;RIEUX;0
60880;LE MEUX;0
60940;CINQUEUX;0
60950;LE PLESSIS BELLEVILLE;0
60960;GRANDVILLIERS;0
61000;ALENCON;0
61100;FLERS;0
61110;REMALARD;0
61120;VIMOUTIERS;0
61130;BELLEME;0
61140;BAGNOLES DE L ORNE;0
61150;ECOUCHE;0
61160;TRUN;0
61170;LE MELE SUR SARTHE;0
61190;TOUROUVRE;0
50360;PICAUVILLE;0
50390;ST SAUVEUR LE VICOMTE;0
50420;TESSY SUR VIRE;0
50440;BEAUMONT HAGUE;0
50460;QUERQUEVILLE;0
50480;STE MERE EGLISE;0
50490;PERIERS;0
50510;CERENCES;0
50520;JUVIGNY LE TERTRE;0
50550;QUETTEHOU;0
50580;PORTBAIL;0
50610;JULLOUVILLE;0
50640;LE TEILLEUL;0
50800;VILLEDIEU LES POELES;0
51000;CHALONS EN CHAMPAGNE;0
51120;SEZANNE;0
51130;VERTUS;0
51160;AY;0
51210;MONTMIRAIL;0
51250;SERMAIZE LES BAINS;0
51290;ST REMY EN BOUZEMONT ST GENEST;0
51310;ESTERNAY;0
51340;PARGNY SUR SAULX;0
51360;VERZENAY;0
51380;VERZY;0
51400;MOURMELON LE GRAND;0
51450;BETHENY;0
51470;ST MEMMIE;0
51500;RILLY LA MONTAGNE;0
51510;FAGNIERES;0
51600;SUIPPES;0
52000;CHAUMONT;0
52110;DOULEVANT LE CHATEAU;0
52130;WASSY;0
52140;VAL DE MEUSE;0
52160;AUBERIVE;0
52190;PRAUTHOY;0
52230;POISSONS;0
52240;CLEFMONT;0
52290;ECLARON BRAUCOURT STE LIVIERE;0
52320;FRONCLES;0
52400;BOURBONNE LES BAINS;0
52410;EURVILLE BIENVILLE;0
53000;LAVAL;0
53100;MAYENNE;0
53120;GORRON;0
53160;BAIS;0
53200;CHATEAU GONTIER;0
53220;MONTAUDIN;0
53230;COSSE LE VIVIEN;0
53260;ENTRAMMES;0
53400;CRAON;0
54000;NANCY;0
54110;DOMBASLE SUR MEURTHE;0
54112;VANNES LE CHATEL;0
54113;BLENOD LES TOUL;0
54115;FAVIERES;0
54119;DOMGERMAIN;0
54120;BACCARAT;0
54130;ST MAX;0
54135;MEXY;0
54136;BOUXIERES AUX DAMES;0
54140;HEILLECOURT;0
54150;BRIEY;0
54170;COLOMBEY LES BELLES;0
54180;HEILLECOURT;0
54190;VILLERUPT;0
54200;TOUL;0
54210;ST NICOLAS DE PORT;0
54220;MALZEVILLE;0
