ATT_ELE_MAT;ATT_ELD_MAT;ATT_ELP_MAT;ATT_ELD_LIB;TEC_COL
06;13;01;TRANSPORTEURS SUR RAILS AERIENS, MONORAILS (TELEPHERIQUES). CARROUSSELS A PALETTE, PLATEAUX OU BALANCELLES, BLONDINS, TELESIEGES ET TELESKIS;0
06;14;01;PLANS INCLINES. - TOBOGGANS OU DESCENSEURS HELICOIDAUX (REALISES EN TOLE ET NON PAR DES TRANSPORTEURS A ROULEAUX.), GOULOTTES ET GLISSIERES, FUNICULAIRES;0
07;01;01;NON PRECISE : APPARAUX DE LEVAGE, AMARRAGE ET PREHENSION;0
07;02;01;NON CLASSE - PALETTES (ET PRATICABLES) ELECTRO-AIMANTS, HAUBANS, BITTES ET JOINTS D'AMARRAGE, CONTREPOIDS.;0
07;03;01;CHAINES;0
07;04;01;CABLES METALLIQUES;0
07;05;01;CORDAGES TEXTILES;0
07;06;01;ELINGUES. - ALLONGES;0
07;07;01;PALONNIERS, CROCHETS. - GRAPINS DENT DE LOUP;0
07;08;01;PINCES. - MORS A CHIEN, PINCES A AUTOSERRAGE, GRIFFES, VENTOUSES;0
07;09;01;SANGLES, TENDEURS ELASTIQUES.;0
08;01;01;NON PRECISE;0
08;02;01;NON CLASSE CI-DESSOUS.;0
08;03;01;VOITURES PARTICULIERES;0
08;04;01;VEHICULES UTILITAIRES DE MOINS DE 3.5 TONNES;0
08;05;01;CAMIONS DE PLUS DE 3.5 TONNES;0
08;06;01;TRANSPORTS EN COMMUN SUR ROUTE;0
08;07;01;MOTOCYCLES, VELOMOTEURS, SCOOTERS;0
08;08;01;BICYCLETTES;0
08;09;01;LOCOMOTIVES;0
08;10;01;WAGONS, WAGONNETS ET LORRIES;0
08;11;01;AVIONS, HELICOPTERES;0
08;12;01;VEHICULES AGRICOLES;0
08;13;01;PIETONS ACCROCHES PAR UN VEHICULE;0
09;01;01;NON PRECISE : MACHINES PRODUCTRICES ET TRANSFORMATRICES D'ENERGIE;0
09;02;01;NON CLASSE CI-DESSOUS. - REACTEURS, MACHINES A VAPEUR;0
09;03;01;POMPES, COMPRESSEURS, VENTILATEURS;0
09;04;01;MOTEURS A EXPLOSION ET A COMBUSTION INTERNE (CLASSER ICI LES RETOURS DE MANIVELLE);0
09;05;01;MACHINES ELECTRIQUES TOURNANTES. - ALTERNATEURS (SAUF LES RISQUES ELECTRIQUES VISES A LA RUBRIQUE 39);0
10;01;01;NON PRECISE : ORGANES DE TRANSMISSION (INTERIEURS OU EXTERIEURS AUX MACHINES);0
10;02;01;NON CLASSE CI-DESSOUS. -MANIIVELLES DE STORES;0
10;03;01;COURROIES, CABLES ET POULIES DE TRANSMISSION;0
10;04;01;CHAINES ET PIGNONS;0
10;05;01;ENGRENAGES ET REDUCTEURS;0
10;06;01;ARBRES, MANCHONS,CLAYETTES;0
10;07;01;VOLANTS (NE FAISANT PAS PARTIE INTEGRANTE D'UNE MACHINE);0
10;08;01;CYLINDRES ET CONES D'ENTRAINEMENT;0
11;01;01;NON PRECISE : MACHINES A BROYER, CONCASSER, PULVERISER, DIVISER;0
11;02;01;NON CLASSE CI-DESSOUS. - DECHIQUETEURS A PATE, HYDROPULPEURS;0
11;03;01;BROYEURS A BILLES,TUBES,CYLINDRES,ROUES(BROYEURS A MARTEAU LAIT POUDRE,DECHIQUETEURS/DEFIBREURS PAPIER,GRANULATEURS,MEULETONS,MOULIN CAFE,SABLE,PILES RAFFINEUSES,PREDECHIQUETEURS,RAFFINEURS);0
11;04;01;CONCASSEURS. - BOCARDS ET PILONS DE CONCASSAGE, MEULONS ET CASSE-FONTE;0
12;01;01;NON PRECISE : MACHINES A MALAXER OU MELANGER;0
12;02;01;NON CLASSE;0
12;03;01;MALAXEURS,MELANGEURS(A L'EXCEPTION DES MELANGEURS A CYLINDRES POUR CAOUTCHOUC ET MATIERES QUI SONT DES MACHINES A LAMINER, ET REPRIS A LA RUBRIQUE 16).-WERNER,BAMBURRY,BARATTES,APPAREILS A MOUSSE;0
12;04;01;BETONNIERES;0
12;05;01;PETRINS MELANGEURS, BOUDINEUSES A PATE;0
12;06;01;AGITATEURS A CUVE FIXE, DELAYEURS ... - SORBETIERES, CUVES DE BRASSERIE;0
13;01;01;NON PRECISE : MACHINES A CRIBLER, TAMISER, SEPARER;0
13;02;01;NON CLASSE CI-DESSOUS;0
13;03;01;CRIBLES ET TAMIS OSCILLANTS . - GRILLES DE DECOCHAGE;0
13;04;01;CRIBLES ROTATIFS, TROMMELS, BLUTERIES;0
13;05;01;ESSOREUSES CENTRIFUGES;0
13;06;01;FILTRES PRESSES;0
13;07;01;TONNEAUX ET FOULONS (TANNAGE, LAVAGE, POLISSAGE, DESSABLAGE). MACHINES A LAVER ET DEGRAISSER LE LINGE, BOULONS D'APPRET ET TEINTURE;0
13;08;01;MACHINES A DECORTIQUER ET A ECOSSER . - MACHINES A EPLUCHER;0
13;09;01;DEPOUSSIEREURS, TARARES, SEPARATEURS D'AIR;0
14;01;01;NON PRECISE : PRESSES MECANIOQUES ET PILONS;0
14;02;01;NON CLASSE CI-DESSOUS . - MACHINES A BILLER, A RETREINDRE.;0
14;03;01;PRESSES A DECOUPER, EMBOUTIR, DEFORMER LES METAUX . PLIEUSES ET PRESSES A BALANCER, BIGORNES, POINCONNEUSES;0
14;04;01;PRESSES A EMPORTE-PIECE (CUIR, CARTON, ETC... ) . - CAOUTCHOUC, PLASTIQUE, TISSU;0
14;05;01;PRESSES A IMPRIMER A PLATINE, MINERVES;0
14;06;01;MARTEAUX-PILONS, MOUTONS, MARTINETS;0
15;01;01;NON PRECISE : MACHINES A PRESSER, MOULER ET INJECTER;0
15;02;01;NON CLASSE:POINCONNEUSES A LEVIER,A MAIN,BALANCIERS ET PRESSES PLIEUSES A MAIN.PRESSES A DECOUPER ET A MARQUER LES PLIS SUR CARTON.PENDULUMS,PRESSES PNEUMATIQUES OU ELECTRIQUES,DEMANDRINEUSES;0
15;03;01;PRESSES A FORGER;0
15;04;01;PRESSES HYDRAULIQUES AUTRES QUE CELLES A FORGER . - PRESSES D'ESSAI, MACHINES A FILER (VERINS);0
15;05;01;PRESSES ET MACHINES A MOULER OU A INJECTER LE CAOUTCHOUC ET LES MATIERES PLASTIQUES . - EXTRUDEUSES, BOUDINEUSES - PRESSES A;0
15;06;01;PRESSES ET MACHINES A MOULER DES AUTRES INDUSTRIES . PASTILLEUSES,;0
15;07;01;PRESSES A SATINER ET A GAUFFRER;0
15;08;01;PRESSES A BALLES(PAPIER,TEXTILES,DECHETS METALLIQUES,ETC)PRESSES A TUILES,BRIQUES.INJECTION DE ZAMAC OU ALUMINIUM,FONDEUSES DE CLICHERIE ET LINOTYPES,POUSSOIRS,ALIMENTAIRES-EXTRULEUSES DE;0
16;01;01;NON PRECISE : MACHINES A CYLINDRES POUR LAMINER, MELANGER,PLANER, IMPRIMER;0
16;02;01;"""NON CLASSE: MACHINES A DRESSER, A ENDUIRE, A ENCOLLER; MOLETTES POUR TALONS DE PNEUMATIQUES, FORMAGE DES TUBES PAR MOLETTES, DRESSEUSES DE TUBES ET FILS""";0
16;03;01;LAMINOIRS (A L'EXCLUSION DU LAMINOIR SPECIAL A L'INDUSTRIE TEXTILE CLASSE EN RUBRIQUE 26). - BLOOMINGS, LAMINOIRS A PATE ROULEUSES, FORMEUSES, TOURNEUSES, BOULEUSES DE BOULANGERIE;0
16;04;01;MACHINES A TREFILER, BANCS D'ETIRAGE;0
16;05;01;CALANDRES, MELANGEURS A CAOUTCHOUC ET MATIERES SIMILAIRES. - LINOLEUMS ET MATIERES PLASTIQUES, MACHINES A GRAINER;0
16;06;01;MACHINES A PAPIER ET DE PAPETERIE (Y COMPRIS BOBINEUSES, DEVIDEUSES, ENROULEUSES A PAPIER). - MACHINES A MARQUER LES PLIS PAR MOLETTES;0
16;07;01;MACHINES A IMPRIMER A CYLINDRES (IL EST RAPPELE QUE LES PRESSES A PLATINE SONT CLASSEES A LA RUBRIQUE 14);0
16;08;01;MACHINES A PLANER ET A CINTRER (NOTAMMENT ROULEUSES DE TOLES);0
17;01;01;NON PRECISE : MACHINES A COUPER ET A TRANCHER (AUTRES QUE LES SCIES), A DEROULER ET DEFIBRER;0
17;02;01;NON CLASSE - ECORCEUSES, GRIGNOTEUSES, HACHE-PAILLE, HACHOIRS ET BROYEURS A VIANDE, COUPE DES BONBONS EN FORME DE BERLINGOTS OU AUTRES;0
17;03;01;CISAILLES GUILLOTINES;0
17;04;01;CISAILLES CROCODILES;0
17;05;01;CISAILLES NON MECANIQUES A LEVIER OU A PIED;0
17;06;01;CISAILLES CIRCULAIRES (A MOLETTE). - A ROULETTE OU MOLETTE POUR PLASTIQUES, CAOUTCHOUC, TISSU (PAPIER 16.06);0
17;07;01;AUTRES CISAILLES. -;0
17;08;01;MASSICOTS MECANIQUES A PAPIER;0
17;09;01;TRANCHEUSES A BOIS ET MATIERES SIMILAIRES;0
17;10;01;DEFIBREUSES A BOIS ET MATIERES SIMILAIRES, DEROULEUSES;0
17;11;01;REFENDEUSES A CUIR, TONDEUSES, RASEUSES, DERAYEUSES ET SIMILAIRES;0
17;12;01;DECOUPOIRS DE PRODUITS ALIMENTAIRES. - DIVISEUSES - PESEUSES DE BOULANGERIE, DECOUENNEUSES, CUTTERS (VOIR 18.05 POUR LE JAMBON, LE PAIN, LA VIANDE);0
18;01;01;NON PRECISE : SCIES;0
18;02;01;NON CLASSE;0
18;03;01;SCIES CIRCULAIRES A BOIS ET MATIERES SIMILAIRES;0
18;04;01;SCIES CIRCULAIRES A METAUX, - DITES AUSSI TRONCONNEUSES;0
18;05;01;AUTRES SCIES CIRCULAIRES. - SCIES OU MEULES POUR TISSUS OU VERRE, BRIQUES ET METAUX, JAMBON, PAIN, VIANDE;0
18;06;01;SCIES A RUBAN A BOIS ET MATIERES SIMILAIRES (SAUF SCIES A GRUMES);0
18;07;01;SCIES A RUBAN A GRUMES;0
18;08;01;SCIES A RUBAN A METAUX;0
18;09;01;AUTRES SCIES A RUBAN. - GUILLOTINES A PIERRE, SCIES A RUBAN POUR PLASTIQUES;0
18;10;01;SCIES ALTERNATIVES, METAUX, TISSUS, BOIS;0
18;11;01;SCIES A TRONCONNER A CHAINES, TRONCONNEUSES. - MEME PORTATIVES.;0
19;01;01;NON PRECISE : MACHINES A TOURNER, PERCER, ALESER, FRAISER, RABOTER LES METAUX;0
19;02;01;NON CLASSE - A ETINCELER, MACHINES TRANSFERT;0
19;03;01;TOURS PARALLELES. - A SPIRALER ET A RESSORT, A REPOUSSER, TOURS VERTICAUX;0
19;04;01;TOURS AUTOMATIQUES ET SEMI-AUTOMATIQUES, A DECOLLETER, (DE REPRISES) ETC... FILETEUSES;0
19;05;01;PERCEUSES, TARAUDEUSES;0
19;06;01;ALESEUSES. - VERTICALES OU HORIZONTALES;0
19;07;01;FRAISEUSES. - AUTOSHAWERS, BISEAUTEUSES -;0
19;08;01;RABOTEUSES;0
19;09;01;ETAUX LIMEURS;0
19;10;01;MORTAISEUSES;0
20;01;01;NON PRECISE : MACHINES A TOURNER, TOUPILLER, PERCER, RABOTER (BOIS ET MATIERES SIMILAIRES);0
20;02;01;NON CLASSE CI-DESSOUS. - PERCEUSES A BOIS;0
20;03;01;TOURS A BOIS. - ET A CUIR;0
20;04;01;TOURS A OUTILS ROTATIFS SEMI-AUTOMATIQUES ET AUTOMATIQUES;0
20;05;01;TOUPIES, TENONNEUSES;0
20;06;01;DEGAUCHISSEUSES;0
20;07;01;RABOTEUSES;0
20;08;01;MACHINES A RABOTER ET A MOULURER SUR PLUSIEURS FACES;0
20;09;01;MORTAISEUSES;0
20;10;01;DEFONCEUSES;0
20;11;01;MACHINES COMBINEES. - PAQUETEUSES, BOUCHONNEUSES ET JOINTEUSES;0
21;01;01;NON PRECISE : MACHINES A MEULER, PONCER, POLIR;0
21;02;01;NON CLASSE - BALLES OU BLOCS A VERRES, CABINES DE SABLAGE, SURFAGEUSES DE CAOUTCHOUC - MEULES PENDULAIRES;0
21;03;01;MEULES D'AFFUTAGE OU D'EBARBAGE (LA PIECE ETANT TENUE A LA MAIN), LAPIDAIRES;0
21;04;01;MEULES D'AFFUTAGE AUTOMATIQUES OU SEMI-AUTOMATIQUES (FRAISES, SCIES..);0
21;05;01;RECTIFIEUSES, SURFACEUSES;0
21;06;01;TOURETS A POLIR, A BRUNIR, A BROSSER;0
21;07;01;PONCEUSES. - TOURS OU TANKS A PONCER;0
22;01;01;NON PRECISE : MACHINES ET MATERIEL A SOUDER;0
22;02;01;NON CLASSE - CHALUMEAUX A GAZ, A ESSENCE, FERS ELECTRIQUES OU NON. LAMPES A SOUDER OU A BRASER;0
22;03;01;SOUDEUSES PAR RESISTANCE, PINCES A SOUDER. - (METAUX ET PLASTIQUES).;0
22;04;01;POSTES DE SOUDURE AUTOGENE, DETENDEURS, CHALUMEAUX ET TUYAUX, A L'EXCLUSION DES BOUTEILLES OU DES GENERATEURS TRAITES A LA RUBRIQUE 32;0
