GHS_NUM;GHM_NUM;GHS_SEU_BAS;GHS_SEU_HAU;GHS_PRI;EXH_PRI;EHB_FOR;EHB_PRI;GHS_COE_MED;GHS_COE_DMI
0342;01M383;0;33;3225.69;101.54;0.00;0.00;;
0343;01M384;0;48;4748.80;184.51;0.00;0.00;;
0344;01M391;0;5;1212.82;181.20;0.00;0.00;;
0345;01M392;0;10;2118.83;384.89;0.00;0.00;;
0346;01M393;0;0;3331.70;0.00;0.00;0.00;;
0347;01M394;0;0;3937.59;0.00;0.00;0.00;;
0410;02C021;0;6;2604.36;206.28;0.00;0.00;;
0411;02C022;0;15;4460.87;543.52;0.00;0.00;;
0412;02C023;0;0;10253.83;0.00;0.00;0.00;;
0413;02C024;0;0;13431.00;0.00;0.00;0.00;;
0414;02C02J;0;0;2604.36;0.00;0.00;0.00;;
0415;02C031;2;7;2470.09;224.38;0.00;475.98;;
0416;02C032;0;18;4938.21;495.04;0.00;0.00;;
0417;02C033;0;31;11382.50;679.22;0.00;0.00;;
0418;02C034;0;0;14845.39;0.00;0.00;0.00;;
0419;02C03J;0;0;1518.13;0.00;0.00;0.00;;
0420;02C051;0;3;1381.34;165.22;0.00;0.00;;
0421;02C052;0;17;3694.37;165.97;0.00;0.00;;
0422;02C053;0;44;8175.24;346.51;0.00;0.00;;
0423;02C054;0;0;10665.34;0.00;0.00;0.00;;
0424;02C05J;0;0;1381.34;0.00;0.00;0.00;;
0425;02C061;0;6;1222.86;169.87;0.00;0.00;;
0426;02C062;0;25;4450.39;325.11;0.00;0.00;;
0427;02C063;0;0;9848.19;0.00;0.00;0.00;;
0428;02C064;0;0;12847.86;0.00;0.00;0.00;;
0429;02C06J;0;0;1222.86;0.00;0.00;0.00;;
0430;02C071;0;4;1556.62;711.52;0.00;0.00;;
0431;02C072;0;0;3708.21;0.00;0.00;0.00;;
0432;02C073;0;0;8205.85;0.00;0.00;0.00;;
0433;02C074;0;0;10705.27;0.00;0.00;0.00;;
0434;02C07J;0;0;1167.46;0.00;0.00;0.00;;
0435;02C081;0;4;1543.18;151.01;0.00;0.00;;
0436;02C082;0;20;3959.21;366.45;0.00;0.00;;
0437;02C083;0;31;9202.11;350.36;0.00;0.00;;
0438;02C084;0;39;12004.98;570.65;0.00;0.00;;
0439;02C08J;0;0;1157.39;0.00;0.00;0.00;;
