MED_NCL_IDT;MED_MTF_COD;MED_MTF_LIB;TEC_COL
CIM10;A86;A COMPLETER;0
CIM10;A87;A COMPLETER;0
CIM10;A88;A COMPLETER;0
CIM10;A89;A COMPLETER;0
CIM10;A90;A COMPLETER;0
CIM10;A91;A COMPLETER;0
CIM10;A92;A COMPLETER;0
CIM10;A93;A COMPLETER;0
CIM10;A94;A COMPLETER;0
CIM10;A95;A COMPLETER;0
CIM10;A96;A COMPLETER;0
CIM10;A98;A COMPLETER;0
CIM10;A99;A COMPLETER;0
CIM10;B00;A COMPLETER;0
CIM10;B01;A COMPLETER;0
CIM10;B02;A COMPLETER;0
CIM10;B03;A COMPLETER;0
CIM10;B04;A COMPLETER;0
CIM10;B05;A COMPLETER;0
CIM10;B06;A COMPLETER;0
CIM10;B07;A COMPLETER;0
CIM10;B08;A COMPLETER;0
CIM10;B09;A COMPLETER;0
CIM10;B15;A COMPLETER;0
CIM10;B16;A COMPLETER;0
CIM10;B17;A COMPLETER;0
CIM10;B18;A COMPLETER;0
CIM10;B180;HEPAT. CHRON.B +DELT;0
CIM10;B181;HEPAT.CHRON.B SANS D;0
CIM10;B182;A COMPLETER;0
CIM10;B188;AUT. HEPATITE CHRON.;0
CIM10;B19;A COMPLETER;0
CIM10;B20;A COMPLETER;0
CIM10;B21;SIDA AVEC TUM. MALIG;0
CIM10;B22;SIDA AVEC AUTRES AFF;0
CIM10;B23;SIDA AVEC AUTRES MAL;0
CIM10;B24;A COMPLETER;0
CIM10;B25;A COMPLETER;0
CIM10;B26;A COMPLETER;0
CIM10;B27;A COMPLETER;0
CIM10;B30;A COMPLETER;0
CIM10;B33;A COMPLETER;0
CIM10;B34;A COMPLETER;0
CIM10;B35;A COMPLETER;0
CIM10;B36;A COMPLETER;0
CIM10;B37;A COMPLETER;0
CIM10;B38;A COMPLETER;0
CIM10;B39;A COMPLETER;0
CIM10;B40;A COMPLETER;0
CIM10;B41;A COMPLETER;0
CIM10;B42;A COMPLETER;0
CIM10;B43;A COMPLETER;0
CIM10;B44;A COMPLETER;0
CIM10;B45;A COMPLETER;0
CIM10;B46;A COMPLETER;0
CIM10;B47;A COMPLETER;0
CIM10;B48;A COMPLETER;0
CIM10;B49;A COMPLETER;0
CIM10;B50;A COMPLETER;0
CIM10;B51;A COMPLETER;0
CIM10;B52;A COMPLETER;0
CIM10;B53;A COMPLETER;0
CIM10;B54;A COMPLETER;0
CIM10;B55;A COMPLETER;0
CIM10;B56;A COMPLETER;0
CIM10;B57;A COMPLETER;0
CIM10;B58;A COMPLETER;0
CIM10;B59;A COMPLETER;0
CIM10;B60;A COMPLETER;0
CIM10;B64;A COMPLETER;0
CIM10;B65;A COMPLETER;0
CIM10;B66;A COMPLETER;0
CIM10;B67;A COMPLETER;0
CIM10;B68;A COMPLETER;0
CIM10;B69;A COMPLETER;0
CIM10;B70;A COMPLETER;0
CIM10;B71;A COMPLETER;0
CIM10;B72;A COMPLETER;0
CIM10;B73;A COMPLETER;0
CIM10;B74;A COMPLETER;0
CIM10;B75;A COMPLETER;0
CIM10;B76;A COMPLETER;0
CIM10;B77;A COMPLETER;0
CIM10;B78;A COMPLETER;0
CIM10;B79;A COMPLETER;0
CIM10;B80;A COMPLETER;0
CIM10;B81;A COMPLETER;0
CIM10;B82;A COMPLETER;0
CIM10;B83;A COMPLETER;0
CIM10;B85;A COMPLETER;0
CIM10;B86;A COMPLETER;0
CIM10;B87;A COMPLETER;0
CIM10;B88;A COMPLETER;0
CIM10;B89;A COMPLETER;0
CIM10;B90;A COMPLETER;0
CIM10;B909;SEQ.TUBERC. V. RESP.;0
CIM10;B91;A COMPLETER;0
CIM10;B92;A COMPLETER;0
CIM10;B94;A COMPLETER;0
CIM10;B95;A COMPLETER;0
CIM10;B96;A COMPLETER;0
CIM10;B97;A COMPLETER;0
CIM10;B99;A COMPLETER;0
CIM10;C00;A COMPLETER;0
CIM10;C01;T.M. BASE DE LANGUE;0
CIM10;C02;AUTRES T.M. LANGUE;0
CIM10;C03;A COMPLETER;0
CIM10;C04;T.M. PLANCHER  BOUCH;0
CIM10;C05;A COMPLETER;0
CIM10;C06;T.M.  BOUCHE,  SAI;0
CIM10;C07;T.M. Glde PAROTIDE;0
CIM10;C08;T.M.Gld.SALIV. Ppal;0
CIM10;C09;A COMPLETER;0
CIM10;C10;A COMPLETER;0
CIM10;C11;A COMPLETER;0
CIM10;C12;T.M. SINUS PIRIFORME;0
CIM10;C13;T.M. HYPOPHARYNX;0
CIM10;C14;T.M LEVRE,PHAR.,ETC;0
CIM10;C15;A COMPLETER;0
CIM10;C16;A COMPLETER;0
CIM10;C17;T.M INTESTIN GRELE;0
CIM10;C18;A COMPLETER;0
CIM10;C19;T.M. JONCT.RECTO-SIG;0
CIM10;C20;A COMPLETER;0
CIM10;C21;T.M. ANUS,CANAL ANAL;0
CIM10;C22;T.M.FOIE,VOIES  INTR;0
CIM10;C23;T.M.  VESICULE BIL.;0
CIM10;C24;T.M. VOIES BIL. NCA;0
CIM10;C25;A COMPLETER;0
CIM10;C26;T.M.ORG DIG,MAL DEF.;0
CIM10;C30;T.M.FOSSE NAS.,OREIL;0
CIM10;C31;A COMPLETER;0
CIM10;C32;A COMPLETER;0
CIM10;C33;A COMPLETER;0
CIM10;C34;T.M. BRONCHE POUMON;0
CIM10;C37;A COMPLETER;0
CIM10;C38;T.M COEUR,MED.,PLEV.;0
CIM10;C39;T.M. APP RESP,INDEF.;0
CIM10;C40;T.M OS ,CART.ART.Mb.;0
CIM10;C41;T.M.OS CART. ART.SAI;0
