ETB_FIN_NUM;ETB_FIN_CLE;ORG_GRG_COD;ORG_CAI_NUM
17078506;7;1;171
17079221;2;1;171
17079492;9;1;171
17079516;5;1;171
17080264;9;1;171
17080265;6;1;171
17080266;4;1;171
17080343;1;1;171
17080409;0;1;171
17080540;2;1;171
17080541;0;1;171
18000032;5;1;181
18000035;8;1;181
18000038;2;1;181
18000040;8;1;181
18000059;8;1;181
18000414;5;1;181
18000566;2;1;181
18000581;1;1;181
18000582;9;1;181
18000639;7;1;181
18000847;6;1;181
19000022;4;1;191
19000025;7;1;191
19000569;4;1;191
19001050;4;1;191
19001051;2;1;191
19001052;0;1;191
19001055;3;1;191
19001062;9;1;191
20010003;0;1;201
20010009;7;1;201
20010011;3;1;201
20010013;9;1;201
20010015;4;1;201
20010026;1;1;201
20010198;8;1;201
20010205;1;1;201
20010317;4;1;201
20012255;4;1;201
20020007;9;1;202
20020014;5;1;202
20020016;0;1;202
20020039;2;1;202
20020040;0;1;202
20020173;9;1;202
20020301;6;1;202
20020391;7;1;202
20020404;8;1;202
20020407;1;1;202
20020411;3;1;202
20020412;1;1;202
20020421;2;1;202
20020458;4;1;202
21000148;3;1;211
21000188;9;1;211
21000193;9;1;211
21000305;9;1;211
21000755;5;1;211
21001044;3;1;211
21078011;0;1;211
21078013;6;1;211
21078016;9;1;211
21078027;6;1;211
21078029;2;1;211
21078078;9;1;211
21078097;9;1;211
21098636;0;1;211
21098637;8;1;211
21098672;5;1;211
21098674;1;1;211
21098704;6;1;211
22000005;3;1;221
22000008;7;1;221
22000011;1;1;221
22000024;4;1;221
22000025;1;1;221
22000026;9;1;221
22000027;7;1;221
22000028;5;1;221
22000030;1;1;221
22000031;9;1;221
22000032;7;1;221
22000046;7;1;221
22000559;9;1;221
22001310;6;1;221
22001311;4;1;221
22001312;2;1;221
22001313;0;1;221
22001314;8;1;221
22001315;5;1;221
22001316;3;1;221
22001428;6;1;221
22001643;0;1;221
22001645;5;1;221
23000357;6;1;231
23078015;7;1;231
23078018;1;1;231
23078020;7;1;231
24000019;0;1;241
24000020;8;1;241
24000021;6;1;241
24000027;3;1;241
24000240;2;1;241
24000269;1;1;241
24000271;7;1;241
24000272;5;1;241
24000328;5;1;241
24000329;3;1;241
24000673;4;1;241
24000831;8;1;241
24001166;8;1;241
24001346;6;1;241
25000006;4;1;251
25000027;0;1;251
25000028;8;1;251
25000035;3;1;251
25000219;3;1;251
25000260;7;1;251
25000263;1;1;251
25001172;3;1;251
25001184;8;1;251
25001206;9;1;251
25001494;1;1;252
25001552;6;1;251
25001553;4;1;252
25001600;3;1;251
25001603;7;1;252
25001604;5;1;251
26000021;1;1;261
26000026;0;1;261
26000163;1;1;261
