PPU_STA;REA_TAR;STF_TAR;SRC_TAR;NN1_TAR;NN2_TAR;NN3_TAR;REP_TAR
prive;650.36;325.18;260.14;256.30;385.21;761.29;761.29
public;814.32;407.65;326.12;307.66;461.49;922.98;922.98
