GHS_NUM;GHS_NUM_NUM;GHS_CMD;GHS_CMD_BIS;GHS_CMD_NUM;GHM_NUM;GHM_NUM_BIS;GHS_SEU_BA1;GHS_SEU_BA2;GHS_SEU_HA1;GHS_SEU_HA2;GHS_PR1;GHS_PR2;EXH_PR1;EXH_PR2;VER_10B;VER_10C;MED_SUS_TAU;DMI_SUS_TAU;MED_CMD_TAU;DMI_CMD_TAU;TAR_IND;TAR_COE
8056;;;;;24C25Z;;;;;;2141.97;2141.97;;;;;;;;;;
8057;;;;;24C28Z;;;;;;1083.90;1083.90;;;;;;;;;;
8250;;;;;24K01Z;;;;;;1203.30;1203.30;;;;;;;;;;
8253;;;;;24K04Z;;;;;;593.99;593.99;;;;;;;;;;
8254;;;;;24K05Z;;;;;;554.50;554.50;;;;;;;;;;
8257;;;;;24K08Z;;;;;;863.26;863.26;;;;;;;;;;
8258;;;;;24K09Z;;;;;;868.39;868.39;;;;;;;;;;
8259;;;;;24K10Z;;;;;;1460.98;1460.98;;;;;;;;;;
8260;;;;;24K11Z;;;;;;695.93;695.93;;;;;;;;;;
8261;;;;;24K12Z;;;;;;577.34;577.34;;;;;;;;;;
8264;;;;;24M02Z;;;;;;558.38;558.38;;;;;;;;;;
8265;;;;;24M03Z;;;;;;521.49;521.49;;;;;;;;;;
8266;;;;;24M04Z;;;;;;534.97;534.97;;;;;;;;;;
8267;;;;;24M05Z;;;;;;558.22;558.22;;;;;;;;;;
8268;;;;;24M06Z;;;;;;557.29;557.29;;;;;;;;;;
8269;;;;;24M07Z;;;;;;553.39;553.39;;;;;;;;;;
8270;;;;;24M08Z;;;;;;533.49;533.49;;;;;;;;;;
8271;;;;;24M09Z;;;;;;525.52;525.52;;;;;;;;;;
8272;;;;;24M10Z;;;;;;551.41;551.41;;;;;;;;;;
8273;;;;;24M11Z;;;;;;536.45;536.45;;;;;;;;;;
8274;;;;;24M12Z;;;;;;537.25;537.25;;;;;;;;;;
8275;;;;;24M13Z;;;;;;563.97;563.97;;;;;;;;;;
8276;;;;;24M14Z;;;;;;505.40;505.40;;;;;;;;;;
8277;;;;;24M15Z;;;;;;602.70;602.70;;;;;;;;;;
8278;;;;;24M16Z;;;;;;563.13;563.13;;;;;;;;;;
8279;;;;;24M17Z;;;;;;581.29;581.29;;;;;;;;;;
8280;;;;;24M18Z;;;;;;525.55;525.55;;;;;;;;;;
8281;;;;;24M19Z;;;;;;589.70;589.70;;;;;;;;;;
8282;;;;;24M20Z;;;;;;550.91;550.91;;;;;;;;;;
8283;;;;;24M21Z;;;;;;515.57;515.57;;;;;;;;;;
8284;;;;;24M22Z;;;;;;504.53;504.53;;;;;;;;;;
8285;;;;;24M23Z;;;;;;427.64;427.64;;;;;;;;;;
8286;;;;;24M24Z;;;;;;357.57;357.57;;;;;;;;;;
8287;;;;;24M25Z;;;;;;383.41;383.41;;;;;;;;;;
8288;;;;;24M26Z;;;;;;668.54;668.54;;;;;;;;;;
8289;;;;;24M27Z;;;;;;576.54;576.54;;;;;;;;;;
8290;;;;;24M28Z;;;;;;574.64;574.64;;;;;;;;;;
8291;;;;;24M29Z;;;;;;523.77;523.77;;;;;;;;;;
8292;;;;;24M30Z;;;;;;448.82;448.82;;;;;;;;;;
8293;;;;;24M31Z;;;;;;555.04;555.04;;;;;;;;;;
8294;;;;;24M32Z;;;;;;576.09;576.09;;;;;;;;;;
8295;;;;;24M33Z;;;;;;568.44;568.44;;;;;;;;;;
8296;;;;;24M34Z;;;;;;443.59;443.59;;;;;;;;;;
8297;;;;;24M35Z;;;;;;423.45;423.45;;;;;;;;;;
8298;;;;;24M36Z;;;;;;447.27;447.27;;;;;;;;;;
8299;;;;;24M36Z;;;;;;301.50;301.50;;;;;;;;;;
8307;;;;;24Z09E;;;;;;1032.14;1032.14;;;;;;;;;;
8308;;;;;24Z10E;;;;;;432.13;432.13;;;;;;;;;;
8309;;;;;24Z11E;;;;;;1125.50;1125.50;;;;;;;;;;
8315;;;;;24Z17Z;;;;;;527.65;527.65;;;;;;;;;;
8316;;;;;24Z18Z;;;;;;482.10;482.10;;;;;;;;;;
8317;;;;;24K14Z;;;;;;735.06;735.06;;;;;;;;;;
8318;;;;;24K15Z;;;;;;1016.04;1016.04;;;;;;;;;;
8319;;;;;24K16Z;;;;;;2010.91;2010.91;;;;;;;;;;
8320;;;;;24K17Z;;;;;;1331.70;1331.70;;;;;;;;;;
8321;;;;;24K18Z;;;;;;588.09;588.09;;;;;;;;;;
8322;;;;;24K19Z;;;;;;775.24;775.24;;;;;;;;;;
8323;;;;;24K20Z;;;;;;416.51;416.51;;;;;;;;;;
8324;;;;;24K21Z;;;;;;814.27;814.27;;;;;;;;;;
8325;;;;;24K22Z;;;;;;850.06;850.06;;;;;;;;;;
8326;;;;;24K23Z;;;;;;1056.41;1056.41;;;;;;;;;;
8327;;;;;24K24Z;;;;;;1255.91;1255.91;;;;;;;;;;
8328;;;;;24K25Z;;;;;;946.38;946.38;;;;;;;;;;
8329;;;;;24K26Z;;;;;;890.81;890.81;;;;;;;;;;
8330;;;;;24K27Z;;;;;;746.41;746.41;;;;;;;;;;
8331;;;;;24K28Z;;;;;;763.24;763.24;;;;;;;;;;
8332;;;;;24K29Z;;;;;;238.69;238.69;;;;;;;;;;
8333;;;;;24K30Z;;;;;;910.46;910.46;;;;;;;;;;
8334;;;;;24K31Z;;;;;;756.92;756.92;;;;;;;;;;
8335;;;;;24K32Z;;;;;;729.04;729.04;;;;;;;;;;
8336;;;;;24K33Z;;;;;;177.98;177.98;;;;;;;;;;
8337;;;;;24K34Z;;;;;;1018.73;1018.73;;;;;;;;;;
8338;;;;;24K35Z;;;;;;736.35;736.35;;;;;;;;;;
8339;;;;;24K36Z;;;;;;1256.95;1256.95;;;;;;;;;;
8340;;;;;24K37Z;;;;;;1711.33;1711.33;;;;;;;;;;
8341;;;;;24K38Z;;;;;;1000.88;1000.88;;;;;;;;;;
8342;;;;;24K39Z;;;;;;1109.51;1109.51;;;;;;;;;;
8343;;;;;24M37Z;;;;;;409.96;409.96;;;;;;;;;;
8344;;;;;24M38Z;;;;;;611.14;611.14;;;;;;;;;;
8345;;;;;24M39Z;;;;;;678.07;678.07;;;;;;;;;;
8346;;;;;24M40Z;;;;;;789.58;789.58;;;;;;;;;;
8348;;;;;24Z20Z;;;;;;1097.50;1097.50;;;;;;;;;;
8349;;;;;24Z21Z;;;;;;542.19;542.19;;;;;;;;;;
8350;;;;;24Z22Z;;;;;;785.67;785.67;;;;;;;;;;
8351;;;;;24Z23Z;;;;;;345.79;345.79;;;;;;;;;;
8352;;;;;24Z24Z;;;;;;445.30;445.30;;;;;;;;;;
8353;;;;;24Z25Z;;;;;;870.22;870.22;;;;;;;;;;
8354;;;;;24M41Z;;;;;;402.00;402.00;;;;;;;;;;
8355;;;;;24M42Z;;;;;;417.08;417.08;;;;;;;;;;
8356;;;;;24M43Z;;;;;;753.75;753.75;;;;;;;;;;
8700;;;;;25C02Z;;;;55;55;10398.67;10398.67;353.03;353.03;;;;;;;;
8750;;;;;25M02A;;;;37;37;4264.20;4264.20;315.79;315.79;;;;;;;;
8751;;;;;25M02B;;;;30;30;5173.53;5173.53;321.00;321.00;;;;;;;;
8752;;;;;25M02C;;6;6;46;46;7543.36;7543.36;301.32;301.32;;;;;;;;
8753;;;;;25Z02E;;;;72;72;11903.57;11903.57;309.53;309.53;;;;;;;;
8754;;;;;25Z03Z;;;;44;44;12109.21;12109.21;507.68;507.68;;;;;;;;
8800;;;;;26C01S;;7;7;93;93;18354.16;18354.16;367.34;367.34;;;;;;;;
8801;;;;;26C02Z;;7;7;53;53;10959.89;10959.89;384.06;384.06;;;;;;;;
8850;;;;;26M01S;;;;65;65;10754.22;10754.22;309.11;309.11;;;;;;;;
8851;;;;;26M02Z;;5;5;35;35;5102.17;5102.17;267.24;267.24;;;;;;;;
8900;;;;;27C02Z;;7;7;98;98;37774.34;37774.34;717.20;717.20;;;;;;;;
8901;;;;;27C03Z;;7;7;51;51;20402.41;20402.41;742.65;742.65;;;;;;;;
8902;;;;;27C04Z;;7;7;106;106;47116.70;47116.70;827.06;827.06;;;;;;;;
8903;;;;;27C05Z;;7;7;124;124;38220.39;38220.39;573.67;573.67;;;;;;;;
8904;;;;;27C06Z;;7;7;46;46;15275.48;15275.48;614.71;614.71;;;;;;;;
8905;;;;;27C04Z;;7;7;106;106;61870.41;61870.41;1086.04;1086.04;;;;;;;;
9050;;;;;27Z02Z;;11;11;110;110;56041.51;56041.51;949.33;949.33;;;;;;;;
9051;;;;;27Z03Z;;;;11;11;6275.97;6275.97;961.11;961.11;;;;;;;;
9052;;;;;27Z03Z;;;;43;43;21191.40;21191.40;743.93;743.93;;;;;;;;
9053;;;;;27C07Z;;7;7;170;170;58699.41;58699.41;644.50;644.50;;;;;;;;
9054;;;;;27C05Z;;7;7;170;170;58320.39;58320.39;643.24;643.24;;;;;;;;
9500;;;;;28Z01Z;;;;;;424.41;424.41;;;;;;;;;;
9501;;;;;28Z02Z;;;;;;397.70;397.70;;;;;;;;;;
9502;;;;;28Z03Z;;;;;;408.20;408.20;;;;;;;;;;
9503;;;;;28Z04Z;;;;;;375.17;375.17;;;;;;;;;;
9506;;;;;28Z07Z;;;;;;408.85;408.85;;;;;;;;;;
9507;;;;;28Z08Z;;;;;;832.98;832.98;;;;;;;;;;
9508;;;;;28Z09Z;;;;;;324.49;324.49;;;;;;;;;;
9509;;;;;28Z10Z;;;;;;929.28;929.28;;;;;;;;;;
9510;;;;;28Z11Z;;;;;;536.84;536.84;;;;;;;;;;
9511;;;;;28Z12Z;;;;;;180.40;180.40;;;;;;;;;;
9512;;;;;28Z13Z;;;;;;151.33;151.33;;;;;;;;;;
9513;;;;;28Z14Z;;;;;;657.95;657.95;;;;;;;;;;
9514;;;;;28Z15Z;;;;;;116.83;116.83;;;;;;;;;;
9515;;;;;28Z11Z;;;;;;1046.32;1046.32;;;;;;;;;;
9520;;;;;28Z04Z;;;;;;375.17;375.17;;;;;;;;;;
9521;;;;;28Z04Z;;;;;;420.54;420.54;;;;;;;;;;
9522;;;;;28Z04Z;;;;;;269.83;269.83;;;;;;;;;;
9523;;;;;28Z16Z;;;;;;850.95;850.95;;;;;;;;;;
9524;;;;;28Z11Z;;;;;;804.00;804.00;;;;;;;;;;
9900;;;;;90H02Z;;;;37;37;5577.39;5577.39;277.87;277.87;;;;;;;;
9901;;;;;90H03Z;;;;;;613.78;613.78;;;;;;;;;;
9999;;;;;999999;;;;;;0.00;0.00;;;;;;;;;;
