GHS_NUM;GHS_NUM_NUM;GHS_CMD;GHS_CMD_BIS;GHS_CMD_NUM;GHM_NUM;GHM_NUM_BIS;GHS_SEU_BA1;GHS_SEU_BA2;GHS_SEU_HA1;GHS_SEU_HA2;GHS_PR1;GHS_PR2;EXH_PR1;EXH_PR2;VER_10B;VER_10C;MED_SUS_TAU;DMI_SUS_TAU;MED_CMD_TAU;DMI_CMD_TAU;TAR_IND;TAR_COE
4754;;;;;12M04V;;;;15;15;1345.00;1345.00;353.91;353.91;;;;;;;;
4755;;;;;12M04W;;;;19;19;2824.90;2824.90;278.28;278.28;;;;;;;;
4756;;;;;12M05Z;;;;15;15;1659.61;1659.61;346.74;346.74;;;;;;;;
4900;;;;;13C01S;;;;42;42;8581.65;8581.65;381.02;381.02;;;;;;;;
4903;;;;;13C03V;;;;14;14;3371.16;3371.16;437.08;437.08;;;;;;;;
4904;;;;;13C03W;;;;18;18;4612.29;4612.29;465.73;465.73;;;;;;;;
4905;;;;;13C04V;;;;15;15;2905.49;2905.49;556.46;556.46;;;;;;;;
4906;;;;;13C04W;;;;15;15;3807.62;3807.62;469.42;469.42;;;;;;;;
4907;;;;;13C05Z;;;;21;21;4883.50;4883.50;421.19;421.19;;;;;;;;
4908;;;;;13C06Z;;;;15;15;2318.63;2318.63;570.77;570.77;;;;;;;;
4909;;;;;13C07V;;;;15;15;2635.30;2635.30;496.52;496.52;;;;;;;;
4910;;;;;13C07W;;;;16;16;3794.43;3794.43;430.66;430.66;;;;;;;;
4911;;;;;13C08V;;;;17;17;1179.70;1179.70;322.64;322.64;;;;;;;;
4912;;;;;13C08W;;;;21;21;3753.49;3753.49;331.39;331.39;;;;;;;;
4913;;;;;13C09Z;;;;12;12;1920.96;1920.96;463.88;463.88;;;;;;;;
4914;;;;;13C10Z;;;;6;6;1377.31;1377.31;430.18;430.18;;;;;;;;
4915;;;;;13C11Z;;;;15;15;1561.96;1561.96;437.93;437.93;;;;;;;;
4916;;;;;13C12Z;;;;6;6;1076.10;1076.10;344.34;344.34;;;;;;;;
4917;;;;;13C13Z;;;;20;20;4574.93;4574.93;411.41;411.41;;;;;;;;
4918;;;;;13C14V;;3;3;33;33;5884.30;5884.30;499.98;499.98;;;;;;;;
4919;;;;;13C14W;;6;6;41;41;9735.49;9735.49;436.90;436.90;;;;;;;;
4920;;;;;13C15V;;;;22;22;3901.57;3901.57;416.57;416.57;;;;;;;;
4921;;;;;13C15W;;4;4;27;27;5589.33;5589.33;374.82;374.82;;;;;;;;
5200;;;;;13M02Z;;;;15;15;1647.38;1647.38;288.64;288.64;;;;;;;;
5201;;;;;13M03V;;;;31;31;3035.86;3035.86;313.83;313.83;;;;;;;;
5202;;;;;13M03W;;3;3;39;39;6224.24;6224.24;296.94;296.94;;;;;;;;
5203;;;;;13M04V;;;;14;14;1514.65;1514.65;410.98;410.98;;;;;;;;
5204;;;;;13M04W;;;;17;17;2617.27;2617.27;276.74;276.74;;;;;;;;
5300;;;;;14C02A;;;;22;22;2983.30;2983.30;322.99;322.99;;;;;;;;
5301;;;;;14C02B;;4;4;26;26;4208.05;4208.05;298.89;298.89;;;;;;;;
5302;;;;;14C02C;;4;4;28;28;4900.37;4900.37;318.07;318.07;;;;;;;;
5303;;;;;14C03Z;;;;16;16;6391.79;6391.79;720.22;720.22;;;;;;;;
5304;;;;;14C04Z;;;;15;15;2250.93;2250.93;409.40;409.40;;;;;;;;
5305;;;;;14C05Z;;;;12;12;1448.81;1448.81;392.06;392.06;;;;;;;;
5450;;;;;14M02Z;;;;15;15;1536.02;1536.02;267.44;267.44;;;;;;;;
5451;;;;;14Z02A;;;;14;14;2164.31;2164.31;356.07;356.07;;;;;;;;
5452;;;;;14Z02B;;;;15;15;2615.30;2615.30;366.36;366.36;;;;;;;;
5453;;;;;14Z02C;;;;18;18;3347.42;3347.42;346.05;346.05;;;;;;;;
5454;;;;;14Z03A;;;;15;15;1413.97;1413.97;265.11;265.11;;;;;;;;
5455;;;;;14Z03B;;;;16;16;2069.16;2069.16;238.42;238.42;;;;;;;;
5456;;;;;14Z04Z;;;;12;12;1453.06;1453.06;374.75;374.75;;;;;;;;
5457;;;;;14Z05Z;;;;10;10;2126.91;2126.91;475.37;475.37;;;;;;;;
5458;;;;;14Z06Z;;;;15;15;1200.77;1200.77;257.31;257.31;;;;;;;;
5459;;;;;14Z07Z;;;;15;15;1403.83;1403.83;261.71;261.71;;;;;;;;
5800;;;;;15Z02Z;;;;35;35;4038.47;4038.47;211.82;211.82;;;;;;;;
5801;;;;;15Z03Z;;;;3;3;588.68;588.68;183.50;183.50;;;;;;;;
5802;;;;;15Z04E;;;;32;32;4975.91;4975.91;285.81;285.81;;;;;;;;
5803;;;;;15Z05A;;;;8;8;1010.80;1010.80;175.22;175.22;;;;;;;;
5804;;;;;15Z05B;;;;11;11;1495.47;1495.47;194.58;194.58;;;;;;;;
5805;;;;;15Z05C;;;;18;18;1989.40;1989.40;198.08;198.08;;;;;;;;
5806;;;;;15Z05D;;4;4;31;31;3028.11;3028.11;181.17;181.17;;;;;;;;
5807;;;;;15Z06A;;;;17;17;1637.45;1637.45;176.80;176.80;;;;;;;;
5808;;;;;15Z06B;;4;4;25;25;2389.65;2389.65;174.66;174.66;;;;;;;;
5809;;;;;15Z06C;;5;5;33;33;2895.98;2895.98;163.68;163.68;;;;;;;;
5810;;;;;15Z06D;;5;5;49;49;4990.75;4990.75;187.34;187.34;;;;;;;;
5811;;;;;15Z07A;;6;6;42;42;3698.92;3698.92;164.21;164.21;;;;;;;;
5812;;;;;15Z07B;;7;7;56;56;4358.09;4358.09;144.91;144.91;;;;;;;;
5813;;;;;15Z07C;;7;7;77;77;7024.14;7024.14;170.37;170.37;;;;;;;;
5814;;;;;15Z08A;;7;7;93;93;5260.33;5260.33;105.81;105.81;;;;;;;;
5815;;;;;15Z08E;;;;41;41;2684.06;2684.06;120.26;120.26;;;;;;;;
5816;;;;;15Z09A;;;;155;155;6784.59;6784.59;81.96;81.96;;;;;;;;
5817;;;;;15Z09E;;;;44;44;3453.17;3453.17;144.40;144.40;;;;;;;;
6100;;;;;16C01S;;7;7;51;51;13708.28;13708.28;497.78;497.78;;;;;;;;
6101;;;;;16C02Z;;3;3;24;24;5661.19;5661.19;442.26;442.26;;;;;;;;
6102;;;;;16C03V;;;;23;23;2458.49;2458.49;464.83;464.83;;;;;;;;
6103;;;;;16C03W;;;;29;29;6387.08;6387.08;402.54;402.54;;;;;;;;
6150;;;;;16M01S;;5;5;33;33;6342.72;6342.72;350.11;350.11;;;;;;;;
6151;;;;;16M02V;;;;19;19;2479.87;2479.87;341.08;341.08;;;;;;;;
6152;;;;;16M02W;;;;24;24;4288.90;4288.90;331.92;331.92;;;;;;;;
6153;;;;;16M03V;;;;15;15;2918.88;2918.88;469.71;469.71;;;;;;;;
6154;;;;;16M03W;;;;18;18;6093.79;6093.79;602.88;602.88;;;;;;;;
6155;;;;;16M04V;;;;18;18;2176.36;2176.36;366.61;366.61;;;;;;;;
6156;;;;;16M04W;;;;23;23;3930.08;3930.08;312.59;312.59;;;;;;;;
6157;;;;;16M05V;;;;18;18;2401.47;2401.47;415.25;415.25;;;;;;;;
6158;;;;;16M05W;;;;23;23;3935.80;3935.80;312.68;312.68;;;;;;;;
6300;;;;;17C01S;;7;7;73;73;16386.45;16386.45;417.98;417.98;;;;;;;;
