PPU_STA;REA_TA1;STF_TA1;SRC_TA1;SSC_TA1;SRA_TA1;NN1_TA1;NN2_TA1;NN3_TA1;REP_TA1;REA_TA2;STF_TA2;SRC_TA2;SSC_TA2;SRA_TA2;NN1_TA2;NN2_TA2;NN3_TA2;REP_TA2
prive;640.72;320.36;0.00;73.10;433.81;252.50;379.50;750.00;750.00;643.92;321.96;73.47;73.47;435.98;253.76;381.40;753.75;753.75
public;838.16;419.58;279.39;0.00;0.00;316.67;475.00;950.00;950.00;811.18;406.08;270.39;0.00;0.00;306.47;459.71;919.42;919.42
