LPP_COD;VAL_DTD;LPP_TAR;LPP_PRU
2762406;25JUL2013:00:00:00;484.54;484.54
2765729;01MAR2014:00:00:00;635.00;635.00
2772209;01MAR2014:00:00:00;2790.14;2790.14
2774250;01MAR2014:00:00:00;1027.54;1027.54
2775188;01MAR2014:00:00:00;2790.14;2790.14
2782219;01MAR2014:00:00:00;2790.14;2790.14
2784336;01MAR2014:00:00:00;2790.14;2790.14
2787464;01MAR2014:00:00:00;635.00;635.00
2791738;01MAR2014:00:00:00;2001.21;2001.21
2792258;01MAR2014:00:00:00;635.00;635.00
2792531;01MAR2014:00:00:00;1027.54;1027.54
2793460;01MAR2014:00:00:00;2790.14;2790.14
2794079;01MAR2014:00:00:00;1027.54;1027.54
2794487;01MAR2014:00:00:00;1027.54;1027.54
2795742;01MAR2014:00:00:00;1027.54;1027.54
3100156;17JUL2013:00:00:00;3183.53;3183.53
3100162;20NOV2003:00:00:00;152.45;152.45
3100179;08SEP2003:00:00:00;32.01;32.01
3100185;09APR2007:00:00:00;1550.00;1550.00
3100268;08SEP2003:00:00:00;82.32;82.32
3100334;01NOV2013:00:00:00;343.93;343.93
3100357;08SEP2003:00:00:00;134.16;134.16
3100392;23FEB2009:00:00:00;5831.00;5831.00
3100469;21MAY2005:00:00:00;512.23;512.23
3100506;08SEP2003:00:00:00;213.43;213.43
3100535;08SEP2003:00:00:00;167.69;167.69
3100564;11DEC2008:00:00:00;152.45;152.45
3100624;21MAY2005:00:00:00;625.04;625.04
3100765;08SEP2003:00:00:00;335.39;335.39
3100920;21MAY2005:00:00:00;589.06;589.06
3101078;04MAR2013:00:00:00;5268.00;5268.00
3101167;08SEP2003:00:00:00;167.69;167.69
3101173;08SEP2010:00:00:00;390.44;390.44
3101316;04APR2013:00:00:00;2755.00;2755.00
3101368;20DEC2011:00:00:00;2100.00;2100.00
3101405;21MAY2005:00:00:00;280.51;280.51
3101606;21MAY2005:00:00:00;210.38;210.38
3101670;21MAY2005:00:00:00;63.72;63.72
3101807;08SEP2003:00:00:00;152.45;152.45
3101888;08SEP2003:00:00:00;221.05;221.05
3102008;21AUG2012:00:00:00;230.00;230.00
3102037;24JUL2012:00:00:00;1127.00;1127.00
3102066;25MAY2011:00:00:00;775.00;775.00
3102072;20FEB2014:00:00:00;925.00;925.00
3102385;21MAY2005:00:00:00;104.28;104.28
3102391;22AUG2012:00:00:00;9414.82;9414.82
3102422;21MAY2005:00:00:00;274.41;274.41
3102646;08SEP2003:00:00:00;167.69;167.69
3102793;05OCT2011:00:00:00;1000.00;1000.00
3102824;11DEC2008:00:00:00;152.45;152.45
3103002;05DEC2013:00:00:00;9668.00;9668.00
3103077;21MAY2005:00:00:00;72.41;72.41
3103189;17JUL2013:00:00:00;1003.03;1003.03
3103309;21MAY2005:00:00:00;158.09;158.09
3103344;08SEP2003:00:00:00;221.05;221.05
3103410;22AUG2012:00:00:00;9414.82;9414.82
3103522;21MAY2005:00:00:00;9.45;9.45
3103611;05DEC2013:00:00:00;9668.00;9668.00
3103769;21MAY2005:00:00:00;2562.97;2562.97
3103835;01NOV2013:00:00:00;996.58;996.58
3103864;23OCT2013:00:00:00;925.00;925.00
3103924;08SEP2003:00:00:00;152.45;152.45
3103976;19SEP2013:00:00:00;925.00;925.00
3104020;21MAY2005:00:00:00;161.50;161.50
3104042;07JUN2006:00:00:00;131.72;131.72
3104119;06JUN2013:00:00:00;230.00;230.00
3104148;08SEP2003:00:00:00;442.10;442.10
3104154;13NOV2008:00:00:00;735.88;735.88
3104160;19SEP2013:00:00:00;925.00;925.00
3104190;30NOV2006:00:00:00;550.00;550.00
3104496;08SEP2010:00:00:00;550.00;550.00
3104556;21MAY2005:00:00:00;152.45;152.45
3104616;21MAY2005:00:00:00;259.16;259.16
3104674;09APR2013:00:00:00;1800.00;1800.00
3104697;08SEP2003:00:00:00;167.69;167.69
3104728;12DEC2011:00:00:00;700.88;700.88
3104830;21MAY2005:00:00:00;280.51;280.51
3104881;23OCT2013:00:00:00;925.00;925.00
3104912;22AUG2012:00:00:00;9414.82;9414.82
3104941;19SEP2013:00:00:00;925.00;925.00
3104987;21MAY2005:00:00:00;1500.71;1500.71
3104993;08SEP2010:00:00:00;50.64;50.64
3105142;08SEP2003:00:00:00;152.45;152.45
3105188;17JUL2013:00:00:00;1003.03;1003.03
3105277;05DEC2013:00:00:00;9668.00;9668.00
3105604;06JUN2013:00:00:00;717.12;717.12
3105774;05DEC2013:00:00:00;9668.00;9668.00
3105811;21MAY2005:00:00:00;1122.02;1122.02
3105857;22OCT2012:00:00:00;489.52;489.52
3105900;06MAR2012:00:00:00;4955.00;4955.00
3105969;06MAR2012:00:00:00;8057.00;8057.00
3106064;01JUL2006:00:00:00;334.37;334.37
3106087;07JUN2006:00:00:00;68.60;68.60
3106259;08SEP2003:00:00:00;221.05;221.05
3106437;21MAY2005:00:00:00;878.11;878.11
3106733;08SEP2003:00:00:00;152.45;152.45
3106791;01MAY2013:00:00:00;3200.00;3200.00
3106992;08SEP2003:00:00:00;152.45;152.45
3107069;19APR2012:00:00:00;3000.00;3000.00
3107081;23OCT2013:00:00:00;925.00;925.00
3107098;05OCT2011:00:00:00;1000.00;1000.00
3107129;14MAR2006:00:00:00;380.00;380.00
3107460;07JUN2006:00:00:00;519.55;519.55
3107537;06MAR2012:00:00:00;4955.00;4955.00
3107543;20FEB2006:00:00:00;237.00;237.00
3107566;20NOV2003:00:00:00;243.92;243.92
3107690;07JUN2006:00:00:00;3650.00;3650.00
3107862;21MAY2005:00:00:00;1390.34;1390.34
3107916;01NOV2013:00:00:00;203.20;203.20
3108293;01SEP2012:00:00:00;925.00;925.00
3108376;21MAY2005:00:00:00;710.41;710.41
3108420;08SEP2003:00:00:00;152.45;152.45
3108436;12DEC2011:00:00:00;184.44;184.44
3108643;08SEP2010:00:00:00;1951.75;1951.75
3108695;01SEP2012:00:00:00;925.00;925.00
3108896;05DEC2013:00:00:00;8057.00;8057.00
3108910;21MAY2005:00:00:00;24.39;24.39
3108927;19SEP2013:00:00:00;925.00;925.00
3109192;28MAR2007:00:00:00;117.00;117.00
3109246;05JUL2011:00:00:00;428.33;428.33
3109335;08SEP2010:00:00:00;1266.00;1266.00
3109370;08SEP2003:00:00:00;221.05;221.05
3109513;11FEB2013:00:00:00;2755.00;2755.00
3109542;21MAY2005:00:00:00;66.47;66.47
3109565;05DEC2013:00:00:00;8057.00;8057.00
3109766;28MAR2007:00:00:00;490.00;490.00
3109803;21MAY2005:00:00:00;1265.33;1265.33
3109826;17JUL2013:00:00:00;1003.03;1003.03
3109861;08SEP2003:00:00:00;167.69;167.69
3110189;08SEP2003:00:00:00;152.45;152.45
3110539;21MAY2005:00:00:00;448.81;448.81
3110580;25JAN2011:00:00:00;8057.00;8057.00
3110597;08SEP2003:00:00:00;243.92;243.92
3110657;21MAY2005:00:00:00;305.51;305.51
3110700;07JUN2006:00:00:00;196.05;196.05
3110999;23OCT2013:00:00:00;925.00;925.00
3111214;08SEP2003:00:00:00;152.45;152.45
3111243;21MAY2005:00:00:00;68.75;68.75
3111266;08SEP2003:00:00:00;167.69;167.69
3111390;01NOV2013:00:00:00;351.66;351.66
3111480;01NOV2013:00:00:00;996.58;996.58
3111556;21MAY2005:00:00:00;77.60;77.60
3111562;21MAY2005:00:00:00;83.85;83.85
3111579;28MAR2007:00:00:00;237.00;237.00
3111591;25JAN2011:00:00:00;9668.00;9668.00
3111639;05NOV2008:00:00:00;310.00;310.00
3111705;01SEP2012:00:00:00;925.00;925.00
3111800;08SEP2003:00:00:00;221.05;221.05
3111875;21MAY2005:00:00:00;413.14;413.14
3111970;21MAY2005:00:00:00;292.70;292.70
3112202;08SEP2003:00:00:00;152.45;152.45
3112314;01NOV2013:00:00:00;363.82;363.82
3112604;01JAN2007:00:00:00;135.00;135.00
3112811;19SEP2013:00:00:00;925.00;925.00
3112892;09APR2007:00:00:00;1415.00;1415.00
3112917;21MAY2005:00:00:00;35.67;35.67
3112930;21MAY2005:00:00:00;700.88;700.88
3113124;19FEB2014:00:00:00;953.05;953.05
3113130;21MAY2005:00:00:00;111.90;111.90
3113288;23OCT2013:00:00:00;925.00;925.00
3113354;17JUL2013:00:00:00;1003.03;1003.03
3113360;19SEP2013:00:00:00;925.00;925.00
3113408;21MAY2005:00:00:00;761.03;761.03
3113561;21MAY2005:00:00:00;213.43;213.43
3113785;23FEB2009:00:00:00;1770.00;0.00
3113839;09APR2007:00:00:00;1550.00;1550.00
3113934;09APR2007:00:00:00;1415.00;1415.00
3114052;08SEP2010:00:00:00;258.48;258.48
3114106;08SEP2003:00:00:00;152.45;152.45
3114129;21MAY2005:00:00:00;29.27;29.27
3114230;29JUL2008:00:00:00;237.00;237.00
3114336;08SEP2003:00:00:00;213.43;213.43
3114342;08SEP2003:00:00:00;167.69;167.69
3114603;08SEP2003:00:00:00;167.69;167.69
3114684;27AUG2013:00:00:00;503.08;503.08
3114715;21MAY2005:00:00:00;336.61;336.61
3114750;11FEB2013:00:00:00;2755.00;2755.00
3114862;07JUN2006:00:00:00;95.13;95.13
3114922;08SEP2003:00:00:00;65.55;65.55
3114939;21MAY2005:00:00:00;92.69;92.69
3115028;21MAY2005:00:00:00;213.43;213.43
3115092;20FEB2014:00:00:00;925.00;925.00
3115152;08SEP2003:00:00:00;117.39;117.39
3115169;21MAY2005:00:00:00;426.86;426.86
3115175;23OCT2013:00:00:00;925.00;925.00
3115212;21MAY2005:00:00:00;65.86;65.86
3115229;08SEP2003:00:00:00;213.43;213.43
3115347;28MAR2007:00:00:00;237.00;237.00
3115399;21MAY2005:00:00:00;1390.34;1390.34
3115465;21MAY2005:00:00:00;45.73;45.73
3115583;21MAY2005:00:00:00;46.04;46.04
3115643;23OCT2013:00:00:00;925.00;925.00
3115689;21MAY2005:00:00:00;1082.39;1082.39
3115821;08SEP2003:00:00:00;152.45;152.45
3115927;07JUN2006:00:00:00;5950.00;5950.00
3116097;08SEP2003:00:00:00;221.05;221.05
3116170;01NOV2013:00:00:00;258.59;258.59
3116269;05DEC2013:00:00:00;4955.00;4955.00
3116424;01SEP2012:00:00:00;925.00;925.00
3116476;24MAR2014:00:00:00;437.53;437.53
3116559;08SEP2003:00:00:00;152.45;152.45
3116588;21MAY2005:00:00:00;1181.48;1181.48
3116594;02NOV2009:00:00:00;850.00;850.00
3117010;21MAY2005:00:00:00;182.94;182.94
3117369;06JUN2013:00:00:00;167.69;167.69
3117375;26SEP2005:00:00:00;900.00;900.00
3117487;21MAY2005:00:00:00;304.90;304.90
3117910;21AUG2012:00:00:00;230.00;230.00
3117978;21MAY2005:00:00:00;109.76;109.76
3118021;23OCT2013:00:00:00;925.00;925.00
3118104;11DEC2007:00:00:00;4704.00;4704.00
3118274;21MAY2005:00:00:00;73.18;73.18
3118475;19SEP2013:00:00:00;925.00;925.00
3118541;25MAY2011:00:00:00;775.00;775.00
3118630;20FEB2014:00:00:00;3007.00;3007.00
3118883;23OCT2013:00:00:00;925.00;925.00
3118908;21MAY2005:00:00:00;137.20;137.20
3118943;21MAY2005:00:00:00;347.58;347.58
3119233;04MAR2013:00:00:00;5268.00;5268.00
3119581;23OCT2013:00:00:00;925.00;925.00
3119747;23OCT2013:00:00:00;925.00;925.00
3119820;04MAR2013:00:00:00;16000.00;16000.00
3119865;21MAY2005:00:00:00;43.30;43.30
3119983;08SEP2003:00:00:00;152.45;152.45
3120012;08SEP2010:00:00:00;3270.50;3270.50
3120041;01NOV2013:00:00:00;609.61;609.61
3120058;08SEP2003:00:00:00;221.05;221.05
3120199;08SEP2003:00:00:00;167.69;167.69
3120510;08SEP2003:00:00:00;62.50;62.50
3120621;08SEP2010:00:00:00;841.52;841.52
3120762;21MAY2005:00:00:00;292.70;292.70
3120897;23FEB2009:00:00:00;4704.00;4704.00
3120970;08SEP2003:00:00:00;2271.49;2271.49
3121030;07JUN2006:00:00:00;3735.00;3735.00
3121098;04MAR2013:00:00:00;16000.00;16000.00
3121170;06MAR2012:00:00:00;4955.00;4955.00
3121260;23OCT2013:00:00:00;925.00;925.00
3121282;05DEC2013:00:00:00;9668.00;9668.00
3121299;08SEP2003:00:00:00;503.08;503.08
3121388;23OCT2013:00:00:00;925.00;925.00
3121394;01NOV2013:00:00:00;97.26;97.26
3121402;28SEP2010:00:00:00;5486.00;5486.00
3121483;21MAY2005:00:00:00;61.44;61.44
3121490;09APR2007:00:00:00;1550.00;1550.00
3121661;07JUN2006:00:00:00;717.12;717.12
3121678;21MAY2005:00:00:00;167.69;167.69
3121684;21MAY2005:00:00:00;51.83;51.83
3121810;08SEP2003:00:00:00;228.67;228.67
3122028;21MAY2005:00:00:00;35.06;35.06
3122117;21MAY2005:00:00:00;29.27;29.27
3122169;01NOV2013:00:00:00;1238.13;1238.13
3122198;28MAR2007:00:00:00;490.00;490.00
3122287;21MAY2005:00:00:00;381.12;381.12
3122301;04MAR2013:00:00:00;5268.00;5268.00
3122353;08SEP2003:00:00:00;243.92;243.92
3122376;21MAY2005:00:00:00;102.45;102.45
3122382;21MAY2005:00:00:00;263.43;263.43
3122407;02AUG2006:00:00:00;243.92;243.92
3122554;08SEP2003:00:00:00;213.43;213.43
3122583;21MAY2005:00:00:00;533.57;533.57
3122608;07JUN2006:00:00:00;658.58;658.58
3122672;28MAR2007:00:00:00;310.00;310.00
3122809;30DEC2008:00:00:00;2350.00;2350.00
3123000;01JAN2007:00:00:00;74.00;74.00
3123016;21MAY2005:00:00:00;182.94;182.94
3123045;08SEP2003:00:00:00;221.05;221.05
3123170;08SEP2003:00:00:00;243.92;243.92
3123192;25JAN2011:00:00:00;4955.00;4955.00
3123364;21MAY2005:00:00:00;80.80;80.80
3123387;28SEP2010:00:00:00;3378.60;3378.60
3123536;09APR2007:00:00:00;1550.00;1550.00
3123654;23OCT2013:00:00:00;925.00;925.00
3123690;07JUN2006:00:00:00;95.13;95.13
3124027;21MAY2005:00:00:00;603.09;603.09
3124145;21MAY2005:00:00:00;2.90;2.90
3124240;21MAY2005:00:00:00;426.86;426.86
3124352;20FEB2014:00:00:00;925.00;925.00
3124369;08SEP2003:00:00:00;243.92;243.92
3124375;21MAY2005:00:00:00;85.37;85.37
3124553;17JUL2013:00:00:00;5189.59;5189.59
3124665;08SEP2003:00:00:00;213.43;213.43
3124790;01NOV2013:00:00:00;709.93;709.93
3124820;17JUL2013:00:00:00;3183.53;3183.53
3124895;20NOV2003:00:00:00;152.45;152.45
3124903;08SEP2003:00:00:00;167.69;167.69
3124932;08SEP2003:00:00:00;152.45;152.45
3124955;23OCT2013:00:00:00;925.00;925.00
3125104;21MAY2005:00:00:00;585.40;585.40
3125200;08SEP2003:00:00:00;152.45;152.45
3125245;08SEP2003:00:00:00;152.45;152.45
3125305;21MAY2005:00:00:00;374.11;374.11
3125452;21MAY2005:00:00:00;112.81;112.81
3125469;23OCT2013:00:00:00;925.00;925.00
3125529;21MAY2005:00:00:00;1318.68;1318.68
3125653;21MAY2005:00:00:00;609.80;609.80
3125676;18JUL2006:00:00:00;310.00;310.00
3125854;08SEP2003:00:00:00;152.45;152.45
3125943;20FEB2014:00:00:00;925.00;925.00
3126032;21MAY2005:00:00:00;321.97;321.97
3126055;01SEP2012:00:00:00;925.00;925.00
3126109;20SEP2012:00:00:00;2000.00;2000.00
3126405;19SEP2013:00:00:00;925.00;925.00
3126486;08SEP2010:00:00:00;2110.00;2110.00
3126724;27MAY2013:00:00:00;850.00;850.00
3126730;19SEP2013:00:00:00;925.00;925.00
3126753;08SEP2003:00:00:00;213.43;213.43
3126760;20FEB2006:00:00:00;310.00;310.00
3127037;19JUL2007:00:00:00;5268.00;5268.00
3127161;01NOV2013:00:00:00;137.57;137.57
