PHA_PRS_IDE;PHA_ATC_CLA;GRP_GRP_COD;TEC_COL
3016622;N05;Psy;0
3016639;N05;Psy;0
3016645;N05;Psy;0
3016763;B01;;0
3016786;B01;;0
3016792;V03;;0
3016993;A12;;0
3017455;R05;;0
3017857;R05;;0
3295450;A12;;0
3295504;C07;;0
3295510;C08;;0
3295533;G03;;0
3295562;C01;;0
3214960;G01;;0
3215014;J01;Ant;0
3215043;N06;;0
3215304;J01;Ant;0
3215356;C03;;0
3215528;N06;;0
3215600;M03;;0
3215617;M03;;0
3215741;S01;;0
3215824;C01;;0
3216054;J01;Ant;0
3216120;INC;;0
3216290;S01;;0
3216723;A02;;0
3216769;A16;;0
3217119;N02;;0
3217125;N02;;0
3217208;S01;;0
3217214;S01;;0
3217272;R05;;0
3217591;D07;;0
3161229;J01;Ant;0
3161525;INC;;0
3161695;J01;Ant;0
3162016;G02;;0
3162111;B05;;0
3162312;G03;;0
3162329;G03;;0
3162335;N05;;0
3162358;S01;;0
3162631;A10;;0
3163180;J01;Ant;0
3163205;J01;Ant;0
3163211;J01;Ant;0
3163240;N06;;0
3163346;C05;;0
3163872;C01;;0
3163903;A01;;0
3164110;A05;;0
3164179;INC;;0
3164185;INC;;0
3164216;V01;;0
3164222;V01;;0
3164239;V01;;0
3164274;B05;;0
3164481;J01;Ant;0
3164854;J01;Ant;0
3164860;J01;Ant;0
3164877;J01;Ant;0
3165026;A10;;0
3165428;G04;;0
3165552;N05;;0
3166741;M04;;0
3166830;L02;;0
3166882;B05;;0
3166988;A11;;0
3168444;M01;;0
3168697;B05;;0
3168705;B05;;0
3168711;B05;;0
3168929;G03;;0
3169142;C07;;0
3169685;R01;;0
3169828;B03;;0
3169900;C04;;0
3169952;INC;;0
3170323;J01;Ant;0
3170346;J01;Ant;0
3170429;N04;;0
3170487;N04;;0
3170524;N03;;0
3170642;C04;;0
3170978;N06;;0
3197003;N06;;0
3197109;M01;;0
3197411;INC;;0
3197486;H03;;0
3197730;M01;;0
3198155;C04;;0
3198190;M01;;0
3198356;S01;;0
3198422;D07;;0
3198439;D07;;0
3198505;C05;;0
3198534;J01;Ant;0
3198652;J01;Ant;0
3198793;C05;;0
3198801;D08;;0
3199120;B01;;0
3199404;G03;;0
3199410;G03;;0
3199829;B01;;0
3200389;J01;Ant;0
3200432;J01;Ant;0
3200509;H02;;0
3200805;N04;;0
3200886;B05;;0
3200975;J01;Ant;0
3201070;V08;;0
3201466;H02;;0
3201526;J07;;0
3201839;J01;Ant;0
3201880;J01;Ant;0
3202158;J01;Ant;0
3202164;J01;Ant;0
3202253;D01;;0
3202276;G01;;0
3202359;D08;;0
3202402;C04;;0
3202537;R05;;0
3202632;G03;;0
3202649;G03;;0
3202655;G02;;0
3202661;J01;Ant;0
3202678;J01;Ant;0
3202804;N06;;0
3202939;D08;;0
3202945;D08;;0
3202980;S01;;0
3203092;B05;;0
3203100;G01;;0
3203117;B03;;0
3203123;J01;Ant;0
3203169;M01;;0
3203175;M01;;0
3203235;A05;;0
3153632;B05;;0
3153649;B05;;0
3153655;B05;;0
3153773;V04;;0
3153827;B05;;0
3153968;N03;;0
3153974;INC;;0
3154005;R03;;0
3154198;J01;Ant;0
3154465;A10;;0
3154488;A10;;0
3154577;G03;;0
3154695;S01;;0
3032561;J04;;0
3032621;R05;;0
3032638;R05;;0
3032874;N05;;0
3032880;N05;;0
3032897;N05;;0
3032905;N05;;0
3033000;A10;;0
3033017;A10;;0
3033201;N02;;0
3033595;N01;;0
3033715;S01;;0
3024159;R05;;0
3024490;M04;;0
3024521;S02;;0
3024538;A07;;0
3024567;J01;Ant;0
3024573;J01;Ant;0
3024604;J01;Ant;0
3024834;A01;;0
3024892;R02;;0
3025041;M03;;0
3025058;M03;;0
3025466;J01;Ant;0
3025472;J01;Ant;0
3025489;J01;Ant;0
3025495;R05;;0
3025503;R05;;0
3025526;R05;;0
3025650;C01;;0
3025762;C01;;0
3025897;H02;;0
3025905;H02;;0
3026046;S01;;0
3026164;H02;;0
3026201;S01;;0
3026448;B01;;0
3026454;B01;;0
3026543;C01;;0
3026721;L01;;0
3026744;INC;;0
3026750;INC;;0
3027063;INC;;0
3027241;R05;;0
3027258;R05;;0
3027264;R05;;0
3027755;H03;;0
3028039;S01;;0
3028097;A10;;0
3028105;A10;;0
3028192;INC;;0
3028217;A03;;0
3028223;A03;;0
3028246;A03;;0
3028252;A03;;0
3028275;H02;;0
3028536;H02;;0
3028571;H02;;0
3028766;P01;;0
3028772;P01;;0
3029228;R01;;0
3036501;C05;;0
3036518;C05;;0
3036599;R01;;0
3036613;R01;;0
3036702;R05;;0
3036754;A11;;0
3036760;A11;;0
3036895;N05;Psy;0
3037015;N06;;0
3037073;A07;;0
3037245;A03;;0
3037357;C03;;0
3037469;N07;;0
3037854;N02;;0
3037995;INC;;0
3038210;R05;;0
3038227;R05;;0
3038233;R05;;0
3038374;A10;;0
3038380;A10;;0
3038517;R05;;0
3038552;N05;;0
3038569;N05;Psy;0
3038641;A09;;0
3038842;D06;;0
3039089;J01;Ant;0
3039095;J01;Ant;0
3039103;J01;Ant;0
3039126;J01;Ant;0
3274123;R06;;0
3274175;N02;;0
3274206;N05;Psy;0
3274241;A01;;0
3274318;INC;;0
3274324;INC;;0
3274330;INC;;0
3274637;N02;;0
3274643;H02;;0
3274749;V08;;0
3274755;V08;;0
3274778;V08;;0
3274784;V08;;0
3274790;V08;;0
3274809;V08;;0
3274815;V08;;0
3274850;D01;;0
3274896;C04;;0
3275105;L02;;0
3275298;N05;Psy;0
3275306;N05;Psy;0
3275571;A07;;0
3275588;A07;;0
3275594;A07;;0
3275708;A07;;0
3275795;R06;;0
3275826;D07;;0
3275861;R01;;0
3275915;L01;;0
3275921;L01;;0
3275938;L01;;0
3276576;R05;;0
3276702;V03;;0
3230918;D07;;0
3230924;D07;;0
3230930;D07;;0
3231013;M01;;0
3231556;J01;Ant;0
3231562;J01;Ant;0
3231585;J01;Ant;0
3231639;S01;;0
3231757;C04;;0
3231792;A03;;0
3231800;A03;;0
3232018;N02;;0
3232030;J01;Ant;0
3232047;N05;;0
3232076;V01;;0
3232099;V01;;0
3232113;V01;;0
3232142;V01;;0
3232231;N05;Psy;0
3232343;J01;Ant;0
3232567;C10;;0
3232610;J01;Ant;0
3232751;G03;;0
3232892;J01;Ant;0
3232900;J01;Ant;0
3232917;J01;Ant;0
3232923;J01;Ant;0
3232946;J01;Ant;0
3233012;C04;;0
3233058;C02;;0
3233153;N02;;0
3233176;B01;;0
3233199;H01;;0
3233207;J01;Ant;0
3233213;J01;Ant;0
3233236;J01;Ant;0
3233242;J01;Ant;0
3233294;INC;;0
3233302;INC;;0
3233377;V08;;0
3233420;N05;;0
3233472;J01;Ant;0
3233489;J01;Ant;0
3233779;C07;;0
3261304;D07;;0
3261379;R07;;0
3261439;L02;;0
3261646;J01;Ant;0
3262172;C10;;0
3262338;G03;;0
3262522;D10;;0
3262686;R03;;0
3262700;M04;;0
3262887;M04;;0
3262982;M04;;0
3263355;A07;;0
3263409;G04;;0
3263450;N03;;0
3263496;N05;;0
3263510;N05;;0
3263622;C01;;0
3263668;M04;;0
3263674;M04;;0
3317223;C09;;0
3317252;C09;;0
3317275;C09;;0
3317298;C09;;0
3272101;J01;Ant;0
3272153;J01;Ant;0
3272182;J01;Ant;0
3272199;J01;Ant;0
3272242;N05;;0
3272259;N07;;0
3272377;INC;;0
3272383;A03;;0
3272443;A07;;0
3272472;V04;;0
3272549;A11;;0
3272555;M03;;0
3272561;N06;;0
3272578;N05;;0
3272584;N05;;0
3272615;R05;;0
3272621;R05;;0
3272667;P01;;0
3272727;M04;;0
3272756;INC;;0
3272762;INC;;0
3272779;INC;;0
3272785;INC;;0
3272911;N06;;0
3272940;A02;;0
3272957;N05;Psy;0
3272963;N05;Psy;0
3272992;S01;;0
3273075;G04;;0
3273112;D10;;0
3273129;A07;;0
3273141;R03;;0
3273201;A12;;0
3273454;M01;;0
3273460;M01;;0
3273477;R06;;0
3273649;N02;;0
3273655;N02;;0
3273750;L01;;0
3274011;C08;;0
3274040;R05;;0
3274092;R05;;0
3274117;R06;;0
3317631;V08;;0
3317648;V08;;0
3317654;C07;;0
3317861;C10;Sta;0
3317944;L02;;0
3317973;R03;;0
3318027;J01;Ant;0
3318085;N02;;0
3318524;A09;;0
3318613;M01;;0
3318665;M02;;0
3318702;L01;;0
3318725;R05;;0
3018992;C04;;0
3019129;L01;;0
3019253;N02;;0
3019276;N02;;0
3019454;R06;;0
3019460;H02;;0
3019483;H02;;0
3019508;H02;;0
3019520;D07;;0
3019572;D07;;0
3019661;C05;;0
3019968;J01;Ant;0
3019974;J01;Ant;0
3019980;J01;Ant;0
3020032;L01;;0
3083386;B01;;0
3083564;P02;;0
3083819;INC;;0
3083883;B05;;0
3084888;R06;;0
3084894;R06;;0
3084919;R06;;0
3084925;R06;;0
3084931;R05;;0
3085020;G01;;0
3085244;M01;;0
3085362;S01;;0
3085379;S01;;0
