SEE_RSQ_NUM;SEE_BUR_NUM;SEE_CTN_NUM;ATV_COD_STR;SEE_RSQ_LIB;GRT_ACT_NUM;CTN_COD_FIN;GFI_COD_FIN;CTN_COD_CAL;GFC_NUM_CAL;TOP_TAR_IND;RSQ_BUR_IND;RSQ_BEN_IND;RSQ_DOC_IND;TAU_ECR_RDO;RSQ_CGL_IND;RSQ_ETT_IND;RSQ_SAL_IND;RSQ_EFF_IND;RSQ_HRE_IND;RSQ_COT_IND;RSQ_EFF_NGL;RSQ_BAT_IND;RSQ_EXC_IND;TEC_COL
900BC;N;CC;X;Entreprises de traitement des ordures ménagères et des déchets industriels et commerciaux banals;09;CC;026;CC;026;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
900BD;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
900BD;N;CC;X;Usine d'incinération des gadoues, des ordures ménagères;09;CC;029;CC;029;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
900BE;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
900BE;N;CC;X;Enlèvement des ordures ménagères avec personnel de collecte et des déchets industriels et commerciaux banals. Entreprises de traitement des ordures ménagères e;09;CC;026;CC;026;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
900BF;B;ZZ;X;;0;ZZ;0;ZZ;0;;1;0;0;0;0;0;1;1;1;0;0;0;0;0
900BF;N;CC;X;Collecte des déchets ménagers ou d activités, dangereux ou non dangereux. Nettoiement de voirie, balayage, lavage;9;CC;26;CC;26;;1;0;0;0;0;0;1;1;1;0;0;0;0;0
911AA;B;BB;;;0;BB;21;BB;21;*;0;0;0;0;1;0;1;0;0;0;1;0;1;0
911AA;N;BB;;Caisses de congés payés du bâtiment et des travaux publics (en ce qui concerne les indemnités versées par ces organismes);0;BB;18;BB;18;*;0;0;0;0;1;0;1;0;0;0;1;0;1;0
911AB;B;ZZ;X;;0;ZZ;0;ZZ;0;*;1;0;0;0;0;0;1;1;1;0;0;0;0;0
911AB;N;II;X;Caisses de congés payés (en ce qui concerne le personnel qu'elles emploient);7;II;19;II;19;*;1;0;0;0;0;0;1;1;1;0;0;0;0;0
911AC;B;ZZ;X;;00;ZZ;000;ZZ;000;*;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
