GHS_NUM;GHM_NUM;GHS_SEU_BAS;GHS_SEU_HAU;GHS_PRI;EXH_PRI;EHB_FOR;EHB_PRI;GHS_COE_MED;GHS_COE_DMI
3323;09C03J;0;0;1171.67;0.00;0.00;0.00;0.00100;0.00117
3324;09C041;3;13;4087.44;169.29;0.00;891.76;0.00190;0.00834
3325;09C042;4;18;4933.91;184.97;846.47;0.00;0.00058;0.00295
3326;09C043;0;35;8078.44;430.56;0.00;0.00;0.00023;0.00424
3327;09C044;0;0;10874.87;0.00;0.00;0.00;0.00023;0.00424
3328;09C051;2;7;2734.85;232.99;0.00;706.34;0.00298;0.00282
3329;09C052;0;12;3952.94;227.68;0.00;0.00;0.00034;0.00082
3330;09C053;0;22;6229.75;509.31;0.00;0.00;0.00087;0.00255
3331;09C054;0;0;8395.73;0.00;0.00;0.00;0.00087;0.00255
3332;09C05J;0;0;1322.17;0.00;0.00;0.00;0.00042;0.00194
3333;09C061;0;8;2558.88;108.94;0.00;0.00;0.00075;0.02196
3334;09C062;0;14;3212.52;421.93;0.00;0.00;0.00330;0.01949
3335;09C063;0;0;6839.68;0.00;0.00;0.00;0.00653;0.02114
3336;09C064;0;0;10208.01;0.00;0.00;0.00;0.00653;0.02114
3337;09C06T;0;0;1296.66;0.00;0.00;0.00;0.00038;0.01986
3338;09C071;0;4;1343.06;212.60;0.00;0.00;0.00193;0.00042
3339;09C072;0;12;3298.77;481.24;0.00;0.00;0.00193;0.00042
3340;09C073;0;0;5401.19;0.00;0.00;0.00;0.00000;0.00000
3341;09C074;0;0;7270.87;0.00;0.00;0.00;0.00000;0.00000
3342;09C07J;0;0;1343.06;0.00;0.00;0.00;0.00018;0.00006
3343;09C081;0;5;1216.14;72.98;0.00;0.00;0.00034;0.00015
3344;09C082;0;25;2748.38;70.07;0.00;0.00;0.00034;0.00015
3345;09C083;6;50;4500.04;77.89;1751.66;0.00;0.00034;0.00015
3346;09C084;13;70;6057.77;160.73;1557.73;0.00;0.00034;0.00015
3347;09C08J;0;0;1216.14;0.00;0.00;0.00;0.00055;0.00034
3348;09C091;2;7;2424.04;188.75;0.00;587.47;0.01573;0.01475
3349;09C092;0;17;4413.29;475.74;0.00;0.00;0.02484;0.04746
3350;09C093;5;26;9396.21;665.79;4982.92;0.00;0.02484;0.04746
3351;09C094;0;0;14023.55;0.00;0.00;0.00;0.02484;0.04746
3352;09C09J;0;0;1249.10;0.00;0.00;0.00;0.00054;0.00047
3353;09C101;0;6;1582.46;148.67;0.00;0.00;0.00291;0.00069
3354;09C102;0;27;4704.53;160.80;0.00;0.00;0.01402;0.00435
3355;09C103;5;44;7476.17;158.90;2771.64;0.00;0.00529;0.00134
3356;09C104;7;64;10654.12;310.98;3177.95;0.00;0.01101;0.00163
3357;09C10J;0;0;686.88;0.00;0.00;0.00;0.00286;0.00030
3362;09C111;4;19;7959.19;758.86;0.00;1338.22;0.00079;0.02046
3358;09C111;4;19;5485.64;523.02;0.00;922.24;0.00079;0.02046
3363;09C112;5;26;14766.59;1034.23;6807.40;0.00;0.00051;0.02174
3359;09C112;5;26;12120.66;848.92;6635.02;0.00;0.00051;0.02174
3364;09C113;5;29;22491.58;1447.19;7724.99;0.00;0.00051;0.02174
3360;09C113;5;29;19845.64;1276.93;7724.98;0.00;0.00051;0.02174
3365;09C114;0;0;29361.35;0.00;0.00;0.00;0.00051;0.02174
3361;09C114;0;0;26715.41;0.00;0.00;0.00;0.00051;0.02174
3514;09K02J;0;0;702.70;0.00;0.00;0.00;0.00632;0.00066
3515;09M021;0;3;968.09;176.87;0.00;0.00;0.00294;0.00022
3516;09M022;0;15;3090.47;408.43;0.00;0.00;1.07217;0.00031
3517;09M023;0;0;3949.87;0.00;0.00;0.00;1.07217;0.00031
3518;09M024;0;0;4820.67;0.00;0.00;0.00;1.07217;0.00031
3519;09M02T;0;0;680.85;0.00;0.00;0.00;0.08110;0.00026
3520;09M031;0;3;861.53;117.91;0.00;0.00;0.00549;0.00081
3521;09M032;0;16;2446.15;113.19;0.00;0.00;0.00766;0.00372
3522;09M033;0;27;3691.28;127.88;0.00;0.00;0.00876;0.00512
3523;09M034;0;40;5353.70;248.28;0.00;0.00;0.00247;0.00067
