GHS_NUM;GHM_NUM;GHS_SEU_BAS;GHS_SEU_HAU;GHS_PRI;EXH_PRI;EHB_FOR;EHB_PRI;GHS_COE_MED;GHS_COE_DMI
0418;02C034;0;0;14984.46;0.00;0.00;0.00;;
0419;02C03J;0;0;1532.35;0.00;0.00;0.00;;
0420;02C051;0;3;1394.28;166.77;0.00;0.00;;
0421;02C052;0;17;3728.98;167.52;0.00;0.00;;
0422;02C053;0;44;8251.82;349.76;0.00;0.00;;
0423;02C054;0;0;10765.25;0.00;0.00;0.00;;
0424;02C05J;0;0;1394.28;0.00;0.00;0.00;;
0425;02C061;0;6;1179.04;174.37;0.00;0.00;;
0426;02C062;0;25;4492.08;328.15;0.00;0.00;;
0427;02C063;0;0;9940.45;0.00;0.00;0.00;;
0428;02C064;0;0;12968.22;0.00;0.00;0.00;;
0429;02C06J;0;0;1179.04;0.00;0.00;0.00;;
0430;02C071;0;4;1571.20;718.19;0.00;0.00;;
0431;02C072;0;0;3742.95;0.00;0.00;0.00;;
0432;02C073;0;0;8282.72;0.00;0.00;0.00;;
0433;02C074;0;0;10805.55;0.00;0.00;0.00;;
0434;02C07J;0;0;1178.40;0.00;0.00;0.00;;
0435;02C081;0;4;1557.64;152.42;0.00;0.00;;
0436;02C082;0;20;3996.30;369.88;0.00;0.00;;
0437;02C083;0;31;9288.31;353.64;0.00;0.00;;
0438;02C084;0;39;12117.44;576.00;0.00;0.00;;
0439;02C08J;0;0;1168.23;0.00;0.00;0.00;;
0440;02C091;2;8;3920.66;282.23;0.00;213.93;;
0441;02C092;0;21;5049.89;231.51;0.00;0.00;;
0442;02C093;0;0;7596.42;0.00;0.00;0.00;;
0443;02C094;0;0;12379.91;0.00;0.00;0.00;;
0444;02C09J;0;0;3492.80;0.00;0.00;0.00;;
0445;02C101;3;12;2588.70;216.75;0.00;632.63;;
0446;02C102;5;25;5406.45;405.05;2817.75;0.00;;
0447;02C103;0;37;13288.65;658.94;0.00;0.00;;
0448;02C104;0;0;17336.24;0.00;0.00;0.00;;
0449;02C10J;0;0;690.81;0.00;0.00;0.00;;
0450;02C111;0;5;1189.98;224.42;0.00;0.00;;
0451;02C112;0;19;4331.81;421.27;0.00;0.00;;
0452;02C113;0;0;10495.55;0.00;0.00;0.00;;
0453;02C114;0;0;13692.38;0.00;0.00;0.00;;
0454;02C11J;0;0;1189.98;0.00;0.00;0.00;;
0455;02C121;0;5;1893.31;594.46;0.00;0.00;;
0456;02C122;0;0;4117.71;0.00;0.00;0.00;;
