PPU_STA;REA_TAR;STF_TAR;SRC_TAR;NN1_TAR;NN2_TAR;NN3_TAR;REP_TAR;DIP_TAR
public;808.61;404.79;323.83;305.50;458.25;916.51;916.51;44.68
prive;649.85;324.92;259.94;256.10;384.91;760.69;760.69;44.96
