AGE_PS5_COD;AGE_PS5_LIB;TEC_COL
0;MOINS D 1 AN;0
1;1-4 ANS;0
10;10 - 14 ANS;0
15;15 - 19 ANS;0
20;20 - 24 ANS;0
25;25 - 29 ANS;0
30;30 - 34 ANS;0
35;35 - 39 ANS;0
40;40 - 44 ANS;0
45;45 - 49 ANS;0
5;5 - 9 ANS;0
50;50 - 54 ANS;0
55;55 - 59 ANS;0
60;60 - 64 ANS;0
65;65 - 69 ANS;0
70;70 - 74 ANS;0
75;75 - 79 ANS;0
80;80 - 84 ANS;0
85;85 - 89 ANS;0
90;90 - 94 ANS;0
95;95-99 ANS;0
99;INDETERMINEE;1
CT;100 ET PLUS;0
