PPU_STA;REA_TAR;STF_TAR;SRC_TAR;NN1_TAR;NN2_TAR;NN3_TAR;REP_TAR;DIP_TAR
public;815.62;408.30;326.64;308.15;462.23;924.46;924.46;45.07
prive;651.40;325.70;260.56;256.71;385.83;762.51;762.51;45.07
