ORG_NUM;ORG_GRG_COD;CTI_NUM;CTI_INF_NUM;CRA_COD;URC_ARH_COD;SLM_NUM;ORG_BSE_NUM;ORG_ORG_TYP;GEO_DPT_COD;GEO_COM_COD;ORG_ACO_COD;ORG_SLM_CLM;ORG_UGE_COD;ORG_SIR_NUM;ORG_CAI_NUM;GDP_NV0_COD;GDP_NV1_COD;GDP_NV2_COD;ORG_TOP_INF;TEC_COL
01C691215;1;25;16;69;84;;01C691;C;069;;;;215;;691;;;;0;0
01C691216;1;25;16;69;84;;01C691;C;069;381;069070;;216;;691;;;;0;0
01C691220;1;25;16;69;84;;01C691;C;069;381;069070;;220;;691;;;;0;0
01C691221;1;25;16;69;84;;01C691;C;069;381;069070;;221;;691;;;;0;0
01C691222;1;25;16;69;84;;01C691;C;069;;;;222;;691;;;;0;0
01C691223;1;25;16;69;84;;01C691;C;069;381;069070;;223;;691;;;;0;0
01C691226;1;25;16;69;84;;01C691;C;069;381;;;226;;691;;;;0;0
01C691230;1;25;16;69;84;;01C691;C;069;381;069070;;230;;691;;;;0;0
01C691233;1;25;16;69;84;;01C691;C;069;381;069070;;233;;691;;;;0;0
01C691235;1;25;16;69;84;;01C691;C;069;381;069070;;235;;691;;;;0;0
01C691240;1;25;16;69;84;;01C691;C;069;381;069070;;240;;691;;;;0;0
01C691241;1;25;16;69;84;;01C691;C;069;381;;;241;;691;;;;0;0
01C691242;1;25;16;69;84;;01C691;C;069;381;069070;;242;;691;;;;0;0
01C691244;1;25;16;69;84;;01C691;C;069;381;069070;;244;;691;;;;0;0
01C601174;1;11;19;59;32;;01C601;C;060;057;;;174;;601;;;;0;0
01C601181;1;11;19;59;32;;01C601;C;060;;;;181;;601;;;;0;0
01C601190;1;11;19;59;32;;01C601;C;060;057;060070;;190;;601;;;;0;0
01C601202;1;11;19;59;32;;01C601;C;060;057;060070;;202;;601;;;;0;0
01C631341;1;16;16;63;84;;01C631;C;063;113;063070;;341;;631;;;;0;0
01C631342;1;16;16;63;84;;01C631;C;063;113;063070;;342;;631;;;;0;0
01C631343;1;16;16;63;84;;01C631;C;063;113;063070;;343;;631;;;;0;0
01C631346;1;16;16;63;84;;01C631;C;063;113;063070;;346;;631;;;;0;0
01C631363;1;16;16;63;84;;01C631;C;063;113;;;363;;631;;;;0;0
01C631379;1;16;16;63;84;;01C631;C;063;113;063070;;379;;631;;;;0;0
01C631401;1;16;16;63;84;;01C631;C;063;113;063070;;401;;631;;;;0;0
01C631402;1;16;16;63;84;;01C631;C;063;;;;402;;631;;;;0;0
01C631404;1;16;16;63;84;;01C631;C;063;113;063070;;404;;631;;;;0;0
01C631405;1;16;16;63;84;;01C631;C;063;;;;405;;631;;;;0;0
01C631406;1;16;16;63;84;;01C631;C;063;113;063070;;406;;631;;;;0;0
01C631410;1;16;16;63;84;;01C631;C;063;;;;410;;631;;;;0;0
01C631415;1;16;16;63;84;;01C631;C;063;113;063070;;415;;631;;;;0;0
01C631416;1;16;16;63;84;;01C631;C;063;113;063070;;416;;631;;;;0;0
01C631417;1;16;16;63;84;;01C631;C;063;113;063070;;417;;631;;;;0;0
01C661544;1;6;2;34;76;;01C661;C;066;136;066070;;544;;661;;;;0;0
01C661545;1;6;2;34;76;;01C661;C;066;136;066070;;545;;661;;;;0;0
01C661546;1;6;2;34;76;;01C661;C;066;136;066070;;546;;661;;;;0;0
01C764303;1;1;1;76;28;;01C764;C;076;540;076070;;303;;764;;;;0;0
01C764306;1;1;1;76;28;;01C764;C;076;540;076070;;306;;764;;;;0;0
01C764307;1;1;1;76;28;;01C764;C;076;540;076070;;307;;764;;;;0;0
01C764308;1;1;1;76;28;;01C764;C;076;540;076070;;308;;764;;;;0;0
01C631305;1;16;16;63;84;;01C631;C;063;113;063070;;305;;631;;;;0;0
01C631306;1;16;16;63;84;;01C631;C;063;;;;306;;631;;;;0;0
01C631307;1;16;16;63;84;;01C631;C;063;113;063070;;307;;631;;;;0;0
01C631308;1;16;16;63;84;;01C631;C;063;113;063070;;308;;631;;;;0;0
01C701544;1;10;10;21;27;;01C701;C;070;550;070070;;544;;701;;;;0;0
01C701551;1;10;10;21;27;;01C701;C;070;550;070070;;551;;701;;;;0;0
01C701552;1;10;10;21;27;;01C701;C;070;550;070070;;552;;701;;;;0;0
01C701561;1;10;10;21;27;;01C701;C;070;550;070070;;561;;701;;;;0;0
01C701581;1;10;10;21;27;;01C701;C;070;550;070070;;581;;701;;;;0;0
01C701582;1;10;10;21;27;;01C701;C;070;550;070070;;582;;701;;;;0;0
01C701584;1;10;10;21;27;;01C701;C;070;550;070070;;584;;701;;;;0;0
01C682060;1;17;13;67;44;;01C682;C;068;224;068170;;60;;682;;;;0;0
01C751075;1;36;35;75;11;;01C751;C;075;101;075072;;75;;751;;;;0;0
01C751076;1;36;35;75;11;;01C751;C;075;101;075072;;76;;751;;;;0;0
01C751077;1;36;35;75;11;;01C751;C;075;101;075072;;77;;751;;;;0;0
01C751078;1;36;35;75;11;;01C751;C;075;101;;;78;;751;;;;0;0
01C751080;1;36;35;75;11;;01C751;C;075;101;075072;;80;;751;;;;0;0
01C751081;1;36;35;75;11;;01C751;C;075;101;075072;;81;;751;;;;0;0
01C751082;1;36;35;75;11;;01C751;C;075;101;075072;;82;;751;;;;0;0
01C741511;1;16;16;69;84;;01C741;C;074;010;074070;;511;;741;;;;0;0
01C741043;1;16;16;69;84;;01C741;C;074;010;074070;;43;;741;;;;0;0
01C741046;1;16;16;69;84;;01C741;C;074;010;074070;;46;;741;;;;0;0
01C741048;1;16;16;69;84;;01C741;C;074;010;074070;;48;;741;;;;0;0
01C741049;1;16;16;69;84;;01C741;C;074;;;;49;;741;;;;0;0
01C741050;1;16;16;69;84;;01C741;C;074;010;074070;;50;;741;;;;0;0
01C741051;1;16;16;69;84;;01C741;C;074;010;074070;;51;;741;;;;0;0
01C741053;1;16;16;69;84;;01C741;C;074;010;074070;;53;;741;;;;0;0
01C741056;1;16;16;69;84;;01C741;C;074;010;074070;;56;;741;;;;0;0
01C741059;1;16;16;69;84;;01C741;C;074;010;074070;;59;;741;;;;0;0
01C741060;1;16;16;69;84;;01C741;C;074;010;074070;;60;;741;;;;0;0
01C741070;1;16;16;69;84;;01C741;C;074;010;074070;;70;;741;;;;0;0
01C741071;1;16;16;69;84;;01C741;C;074;010;074070;;71;;741;;;;0;0
01C741073;1;16;16;69;84;;01C741;C;074;010;074070;;73;;741;;;;0;0
01C741074;1;16;16;69;84;;01C741;C;074;010;074070;;74;;741;;;;0;0
01C741075;1;16;16;69;84;;01C741;C;074;010;074070;;75;;741;;;;0;0
01C741077;1;16;16;69;84;;01C741;C;074;;;;77;;741;;;;0;0
01C741922;1;16;16;69;84;;01C741;C;074;;;;922;;741;;;;0;0
01C741925;1;16;16;69;84;;01C741;C;074;010;074070;;925;;741;;;;0;0
01C741926;1;16;16;69;84;;01C741;C;074;010;074070;;926;;741;;;;0;0
01C741929;1;16;16;69;84;;01C741;C;074;010;074070;;929;;741;;;;0;0
01C741930;1;16;16;69;84;;01C741;C;074;010;074070;;930;;741;;;;0;0
01C751083;1;36;35;75;11;;01C751;C;075;101;075072;;83;;751;;;;0;0
01C751084;1;36;35;75;11;;01C751;C;075;101;075072;;84;;751;;;;0;0
01C751085;1;36;35;75;11;;01C751;C;075;101;075072;;85;;751;;;;0;0
01C751086;1;36;35;75;11;;01C751;C;075;101;075072;;86;;751;;;;0;0
01C751087;1;36;35;75;11;;01C751;C;075;101;075072;;87;;751;;;;0;0
01C741141;1;16;16;69;84;;01C741;C;074;010;074070;;141;;741;;;;0;0
01C741162;1;16;16;69;84;;01C741;C;074;;;;162;;741;;;;0;0
01C692966;1;25;16;69;84;;01C691;C;069;264;069170;;966;;691;;;;0;0
01C692973;1;25;16;69;84;;01C691;C;069;264;069170;;973;;691;;;;0;0
01C692979;1;25;16;69;84;;01C691;C;069;264;069170;;979;;691;;;;0;0
01C692980;1;25;16;69;84;;01C691;C;069;264;069170;;980;;691;;;;0;0
01C692986;1;25;16;69;84;;01C691;C;069;264;069170;;986;;691;;;;0;0
01C692990;1;25;16;69;84;;01C691;C;069;264;069170;;990;;691;;;;0;0
01C692996;1;25;16;69;84;;01C691;C;069;264;069170;;996;;691;;;;0;0
01C692999;1;25;16;69;84;;01C691;C;069;264;069170;;999;;691;;;;0;0
01C701000;1;10;10;21;27;;01C701;C;070;550;070070;;0;;701;;;;0;0
01C701001;1;10;10;21;27;;01C701;C;070;550;;;1;;701;;;;0;0
01C701007;1;10;10;21;27;;01C701;C;070;550;070070;;7;;701;;;;0;0
01C701010;1;10;10;21;27;;01C701;C;070;550;;;10;;701;;;;0;0
01C701011;1;10;10;21;27;;01C701;C;070;550;070070;;11;;701;;;;0;0
01C764751;1;1;1;76;28;;01C764;C;076;540;076070;;751;;764;;;;0;0
01C764753;1;1;1;76;28;;01C764;C;076;540;076070;;753;;764;;;;0;0
01C741950;1;16;16;69;84;;01C741;C;074;010;074070;;950;;741;;;;0;0
01C701999;1;10;10;21;27;;01C701;C;070;550;070070;;999;;701;;;;0;0
01C711000;1;10;10;21;27;;01C711;C;071;270;071070;;0;;711;;;;0;0
01C711001;1;10;10;21;27;;01C711;C;071;270;071070;;1;;711;;;;0;0
01C711002;1;10;10;21;27;;01C711;C;071;270;071070;;2;;711;;;;0;0
01C711003;1;10;10;21;27;;01C711;C;071;270;071070;;3;;711;;;;0;0
01C731544;1;25;16;69;84;;01C731;C;073;065;073070;;544;;731;;;;0;0
01C731547;1;25;16;69;84;;01C731;C;073;065;073070;;547;;731;;;;0;0
01C731551;1;25;16;69;84;;01C731;C;073;065;073070;;551;;731;;;;0;0
01C731561;1;25;16;69;84;;01C731;C;073;065;073070;;561;;731;;;;0;0
01C731569;1;25;16;69;84;;01C731;C;073;065;073070;;569;;731;;;;0;0
01C731590;1;25;16;69;84;;01C731;C;073;065;073070;;590;;731;;;;0;0
01C731599;1;25;16;69;84;;01C731;C;073;065;073070;;599;;731;;;;0;0
01C731602;1;25;16;69;84;;01C731;C;073;065;073070;;602;;731;;;;0;0
01C731603;1;25;16;69;84;;01C731;C;073;065;073070;;603;;731;;;;0;0
01C731605;1;25;16;69;84;;01C731;C;073;;;;605;;731;;;;0;0
01C692503;1;25;16;69;84;;01C691;C;069;264;069170;;503;;691;;;;0;0
01C692506;1;25;16;69;84;;01C691;C;069;;;;506;;691;;;;0;0
01C692520;1;25;16;69;84;;01C691;C;069;264;069170;;520;;691;;;;0;0
01C692521;1;25;16;69;84;;01C691;C;069;264;069170;;521;;691;;;;0;0
01C692544;1;25;16;69;84;;01C691;C;069;264;069170;;544;;691;;;;0;0
01C692551;1;25;16;69;84;;01C691;C;069;264;069170;;551;;691;;;;0;0
01C764757;1;1;1;76;28;;01C764;C;076;;;;757;;764;;;;0;0
01C764761;1;1;1;76;28;;01C764;C;076;540;076070;;761;;764;;;;0;0
01C764763;1;1;1;76;28;;01C764;C;076;540;076070;;763;;764;;;;0;0
01C764764;1;1;1;76;28;;01C764;C;076;540;076070;;764;;764;;;;0;0
01C764765;1;1;1;76;28;;01C764;C;076;540;076070;;765;;764;;;;0;0
01C751927;1;36;35;75;11;;01C751;C;075;101;075072;;927;;751;;;;0;0
01C751928;1;36;35;75;11;;01C751;C;075;101;075072;;928;;751;;;;0;0
01C751929;1;36;35;75;11;;01C751;C;075;101;075072;;929;;751;;;;0;0
01C751931;1;36;35;75;11;;01C751;C;075;101;075072;;931;;751;;;;0;0
01C751932;1;36;35;75;11;;01C751;C;075;101;075072;;932;;751;;;;0;0
01C751941;1;36;35;75;11;;01C751;C;075;101;075072;;941;;751;;;;0;0
01C751950;1;36;35;75;11;;01C751;C;075;101;075072;;950;;751;;;;0;0
01C751952;1;36;35;75;11;;01C751;C;075;101;075072;;952;;751;;;;0;0
01C751954;1;36;35;75;11;;01C751;C;075;101;075072;;954;;751;;;;0;0
01C751957;1;36;35;75;11;;01C751;C;075;101;075072;;957;;751;;;;0;0
01C751964;1;36;35;75;11;;01C751;C;075;101;075072;;964;;751;;;;0;0
01C751968;1;36;35;75;11;;01C751;C;075;101;075072;;968;;751;;;;0;0
01C751970;1;36;35;75;11;;01C751;C;075;101;075072;;970;;751;;;;0;0
01C751971;1;36;35;75;11;;01C751;C;075;;;;971;;751;;;;0;0
