INV_SDV_COD;GRG_COD;URC_ARH_COD;ORG_CAI_NUM;ORG_BSE_NUM;COL_TRI;COL_COM;INV_SDV_LIB
332;3;0;029;03A029;227;;RSI Basse-Normandie
332;3;0;009;03A009;228;;RSI Bourgogne
332;3;0;011;03A011;229;;RSI Bretagne
332;3;0;013;03A013;230;;RSI Centre
332;3;0;015;03A015;231;;RSI Champagne-Ardenne
332;3;0;057;03A057;232;;RSI Corse
332;3;0;017;03A017;233;;RSI Côte d Azur
332;3;0;001;03A001;234;;RSI des Alpes
332;3;0;019;03A019;235;;RSI Franche-Comté
332;3;0;031;03A031;236;;RSI Haute-Normandie
332;3;0;052;03A052;237;;RSI Ile-de-France Centre
332;3;0;048;03A048;238;;RSI Ile-de-France Est
332;3;0;046;03A046;239;;RSI Ile-de-France Ouest
332;3;0;021;03A021;240;;RSI Languedoc-Roussillon
332;3;0;023;03A023;241;;RSI Limousin
332;3;0;025;03A025;242;;RSI Lorraine
332;3;0;027;03A027;243;;RSI Midi-Pyrénées
332;3;0;034;03A034;244;;RSI Nord Pas-de-Calais
332;3;0;037;03A037;245;;RSI Pays de la Loire
332;3;0;039;03A039;246;;RSI Picardie
332;3;0;041;03A041;247;;RSI Poitou-Charentes
332;3;0;053;03A053;248;;RSI Professions Libérales Ile-de-France
332;3;0;054;03A054;249;;RSI Professions Libérales Province
332;3;0;043;03A043;250;;RSI Provence Alpes
332;3;0;059;03A059;251;;RSI Réunion
332;3;0;045;03A045;252;;RSI Rhône
340;4;0;000;000000;253;;SNCF : France entière
340;5;0;000;000000;254;;RATP : France entière
340;6;0;000;000000;255;;ENIM : France entière
340;7;0;000;000000;256;;CANSSM : France entière
340;8;0;000;000000;257;;CNMSS : France entière
340;10;0;000;000000;258;;CRPCEN : France entière
340;12;0;000;000000;259;;CCIP : France entière
340;14;0;000;000000;260;;ASS. NAT. : France entière
340;15;0;000;000000;261;;SENAT : France entière
340;16;0;000;000000;262;;PORT. AUTO : France entière
340;90;0;000;000000;263;;CAVIMAC : France entière
316;1;0;321;01C321;20;;RG : CPAM Auch - hors SLM
315;1;0;151;01C151;21;;RG : CPAM Aurillac
316;1;0;151;01C151;22;;RG : CPAM Aurillac - hors SLM
315;1;0;891;01C891;23;;RG : CPAM Auxerre
316;1;0;891;01C891;24;;RG : CPAM Auxerre - hors SLM
315;1;0;841;01C841;25;;RG : CPAM Avignon
316;1;0;841;01C841;26;;RG : CPAM Avignon - hors SLM
315;1;0;551;01C551;27;;RG : CPAM Bar-le-Duc
316;1;0;551;01C551;28;;RG : CPAM Bar-le-Duc - hors SLM
315;1;0;202;01C202;29;;RG : CPAM Bastia
316;1;0;202;01C202;30;;RG : CPAM Bastia - hors SLM
315;1;0;641;01C641;31;;RG : CPAM Bayonne
316;1;0;641;01C641;32;;RG : CPAM Bayonne - hors SLM
315;1;0;901;01C901;33;;RG : CPAM Belfort
316;1;0;901;01C901;34;;RG : CPAM Belfort - hors SLM
315;1;0;411;01C411;35;;RG : CPAM Blois
316;1;0;411;01C411;36;;RG : CPAM Blois - hors SLM
315;1;0;931;01C931;37;;RG : CPAM Bobigny
316;1;0;931;01C931;38;;RG : CPAM Bobigny - hors SLM
315;1;0;331;01C331;39;;RG : CPAM Bordeaux
316;1;0;331;01C331;40;;RG : CPAM Bordeaux - hors SLM
315;1;0;011;01C011;41;;RG : CPAM Bourg-en-Bresse
316;1;0;011;01C011;42;;RG : CPAM Bourg-en-Bresse - hors SLM
315;1;0;181;01C181;43;;RG : CPAM Bourges
316;1;0;181;01C181;44;;RG : CPAM Bourges - hors SLM
315;1;0;141;01C141;45;;RG : CPAM Caen
316;1;0;141;01C141;46;;RG : CPAM Caen - hors SLM
315;1;0;461;01C461;47;;RG : CPAM Cahors
316;1;0;461;01C461;48;;RG : CPAM Cahors - hors SLM
315;1;0;111;01C111;49;;RG : CPAM Carcassonne
316;1;0;111;01C111;50;;RG : CPAM Carcassonne - hors SLM
315;1;0;731;01C731;51;;RG : CPAM Chambery
316;1;0;731;01C731;52;;RG : CPAM Chambery - hors SLM
315;1;0;081;01C081;53;;RG : CPAM Charleville-Mezieres
316;1;0;081;01C081;54;;RG : CPAM Charleville-Mezieres - hors SLM
315;1;0;281;01C281;55;;RG : CPAM Chartres
316;1;0;281;01C281;56;;RG : CPAM Chartres - hors SLM
315;1;0;361;01C361;57;;RG : CPAM Chateauroux
316;1;0;361;01C361;58;;RG : CPAM Chateauroux - hors SLM
315;1;0;521;01C521;59;;RG : CPAM Chaumont
316;1;0;521;01C521;60;;RG : CPAM Chaumont - hors SLM
315;1;0;631;01C631;61;;RG : CPAM Clermont-Ferrand
316;1;0;631;01C631;62;;RG : CPAM Clermont-Ferrand - hors SLM
315;1;0;941;01C941;63;;RG : CPAM Creteil
316;1;0;941;01C941;64;;RG : CPAM Creteil - hors SLM
315;1;0;623;01C623;65;;RG : CPAM de la Côte d'Opale
316;1;0;623;01C623;66;;RG : CPAM de la Côte d'Opale - hors SLM
315;1;0;422;01C422;67;;RG : CPAM de la Loire
316;1;0;422;01C422;68;;RG : CPAM de la Loire - hors SLM
315;1;0;021;01C021;69;;RG : CPAM de l'Aisne
316;1;0;021;01C021;70;;RG : CPAM de l'Aisne - hors SLM
315;1;0;072;01C072;71;;RG : CPAM de l'Ardèche
316;1;0;072;01C072;72;;RG : CPAM de l'Ardèche - hors SLM
315;1;0;624;01C624;73;;RG : CPAM de l'Artois
316;1;0;624;01C624;74;;RG : CPAM de l'Artois - hors SLM
315;1;0;342;01C342;75;;RG : CPAM de l'Hérault
316;1;0;342;01C342;76;;RG : CPAM de l'Hérault - hors SLM
315;1;0;595;01C595;77;;RG : CPAM de Lille-Douai
316;1;0;595;01C595;78;;RG : CPAM de Lille-Douai - hors SLM
315;1;0;381;01C381;79;;RG : CPAM de l'Isère
316;1;0;381;01C381;80;;RG : CPAM de l'Isère - hors SLM
315;1;0;441;01C441;81;;RG : CPAM de Loire-Atlantique
316;1;0;441;01C441;82;;RG : CPAM de Loire-Atlantique - hors SLM
315;1;0;601;01C601;83;;RG : CPAM de l'Oise
316;1;0;601;01C601;84;;RG : CPAM de l'Oise - hors SLM
315;1;0;542;01C542;85;;RG : CPAM de Meurthe-et-Moselle
316;1;0;542;01C542;86;;RG : CPAM de Meurthe-et-Moselle - hors SLM
315;1;0;571;01C571;87;;RG : CPAM de Moselle
316;1;0;571;01C571;88;;RG : CPAM de Moselle - hors SLM
315;1;0;597;01C597;89;;RG : CPAM de Roubaix-Tourcoing
316;1;0;597;01C597;90;;RG : CPAM de Roubaix-Tourcoing - hors SLM
315;1;0;764;01C764;91;;RG : CPAM de Rouen-Elbeuf-Dieppe-Seine-Maritime
315;1;0;594;01C594;92;;RG : CPAM des Flandres-Dunkerque-Armentières
316;1;0;594;01C594;93;;RG : CPAM des Flandres-Dunkerque-Armentières - hors SLM
315;1;0;041;01C041;94;;RG : CPAM Digne
316;1;0;041;01C041;95;;RG : CPAM Digne - hors SLM
315;1;0;211;01C211;96;;RG : CPAM Dijon
316;1;0;211;01C211;97;;RG : CPAM Dijon - hors SLM
